EC_Tower,Date,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,source_file,NDVI_smooth,DFI_smooth,NDTI_smooth,SATVI_smooth,NDII7_smooth,SAVI_smooth,RDVI_smooth,MTVI1_smooth,NCI_smooth,NDCI_smooth,PSRI_smooth,NDWI_smooth,EVI_smooth,TCBI_smooth,TCGI_smooth,TCWI_smooth,BAI_126_smooth,BAI_136_smooth,BAI_146_smooth,BAI_236_smooth,BAI_246_smooth,BAI_346_smooth,BLUE_smooth,GREEN_smooth,RED_smooth,NIR1_smooth,SWIR1_smooth,SWIR2_smooth
EC AGM (NH),12/24/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171456552,18.82028779,0.153516362,0.220173599,-0.19389685,0.093441427,9.158749422,0.027532592,0.576111677,0.480956497,0.164553083,-0.337364359,0.092081264,0.376516408,0.001211471,-0.297006846,164.6120905,159.0060487,157.1486408,155.9291021,156.5021208,158.355682,731.4293295,907.8141932,1182.967847,1672.249525,3375.021711,2476.757505
EC AGM (NH),12/25/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171336352,18.80402678,0.153321416,0.220025893,-0.194069027,0.093349608,9.150306661,0.027438357,0.57607883,0.480845278,0.164698363,-0.33734613,0.091956151,0.376335726,0.001189149,-0.296878694,164.5621571,158.9789094,157.1559154,155.9191867,156.5224965,158.388821,730.6188357,907.3690174,1182.611463,1671.334926,3373.035133,2476.264299
EC AGM (NH),12/26/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171205769,18.786869,0.153114252,0.219866604,-0.194252094,0.093249464,9.141104244,0.027334717,0.576046018,0.480724875,0.164860284,-0.337326815,0.091819669,0.376136196,0.001165437,-0.296736549,164.508492,158.9492138,157.1636485,155.9076269,156.5442852,158.4247057,729.7313855,906.8723305,1182.216348,1670.330122,3370.858109,2475.690018
EC AGM (NH),12/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171065835,18.76874779,0.152894666,0.219696522,-0.194446191,0.093141941,9.131226878,0.027222992,0.576012357,0.48059607,0.165035938,-0.337306372,0.09167312,0.37592068,0.001140309,-0.296582697,164.4512874,158.9172805,157.1718467,155.8948276,156.5674529,158.4630995,728.7767462,906.3332474,1181.788783,1669.247501,3368.515317,2475.0545
EC AGM (NH),12/28/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170917579,18.74959649,0.152662454,0.219516435,-0.194651457,0.093027987,9.120759275,0.027104504,0.575976963,0.480459645,0.165222422,-0.337284759,0.091517804,0.375692045,0.001113737,-0.296419422,164.3907355,158.8834284,157.1805165,155.8811933,156.5919659,158.5037655,727.7646854,905.760883,1181.335047,1668.099449,3366.031438,2474.377587
EC AGM (NH),12/29/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170762032,18.72934845,0.152417413,0.219327132,-0.194868033,0.092908548,9.109786142,0.026980576,0.575938953,0.480316382,0.165416829,-0.337261934,0.091355019,0.375453155,0.001085694,-0.296249008,164.3270282,158.847976,157.1896645,155.8671287,156.6177903,158.5464671,726.7049703,905.1643522,1180.86142,1666.898353,3363.431151,2473.679117
EC AGM (NH),12/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.170600223,18.70793701,0.152159338,0.219129404,-0.195096059,0.092784573,9.09839219,0.026852528,0.575897442,0.480167061,0.165616254,-0.337237855,0.091186068,0.375206873,0.001056153,-0.29607374,164.2603577,158.8112423,157.1992972,155.8530386,156.6448922,158.5909675,725.6073683,904.5527698,1180.374181,1665.656598,3360.739135,2472.978929
EC AGM (NH),1/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.170433185,18.68529551,0.151888026,0.21892404,-0.195335674,0.092657009,9.086662127,0.026721682,0.575851546,0.480012466,0.165817792,-0.337212481,0.09101225,0.374956065,0.001025086,-0.295895903,164.1909161,158.7735458,157.2094211,155.8393276,156.6732379,158.6370301,724.4816469,903.9352508,1179.879611,1664.386571,3357.98007,2472.296865
EC AGM (NH),1/3/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170261945,18.6613573,0.151603272,0.218711828,-0.195587019,0.092526802,9.074680664,0.02658936,0.575800382,0.479853377,0.166018538,-0.337185771,0.090834865,0.374703594,0.000992466,-0.29571778,164.1188955,158.7352053,157.2200429,155.8264003,156.7027935,158.6844181,723.3375733,903.3209101,1179.38399,1663.10066,3355.178634,2471.652763
EC AGM (NH),1/4/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170087536,18.63605572,0.151304874,0.218493559,-0.195850233,0.092394899,9.062532508,0.026456884,0.575743066,0.479690577,0.166215586,-0.337157681,0.090655213,0.374452326,0.000958266,-0.295541657,164.0444881,158.6965396,157.2311691,155.8146614,156.7335252,158.7328949,722.1849151,902.7188625,1178.893596,1661.811249,3352.359508,2471.066463
