Year,PastureID,ID,on_date,on_wt_raw,on_wt,off_date,off_wt_raw,off_wt,on_ct,Past_Year,period_days,adg
2000,15E,952_Purple,2000-05-19,526.0,526.0,2000-06-15,596.0,596.0,20,15E_2000,27,2.5925925925925926
2000,15E,952_Purple,2000-06-15,596.0,596.0,2000-07-14,628.0,628.0,20,15E_2000,29,1.103448275862069
2000,15E,952_Purple,2000-07-14,628.0,628.0,2000-08-11,682.0,682.0,20,15E_2000,28,1.9285714285714286
2000,15E,953_Brown,2000-05-19,550.0,550.0,2000-06-15,634.0,634.0,20,15E_2000,27,3.111111111111111
2000,15E,953_Brown,2000-06-15,634.0,634.0,2000-07-14,668.0,668.0,20,15E_2000,29,1.1724137931034482
2000,15E,953_Brown,2000-07-14,668.0,668.0,2000-08-11,696.0,696.0,20,15E_2000,28,1.0
2000,15E,956_Purple,2000-05-19,562.0,562.0,2000-06-15,646.0,646.0,20,15E_2000,27,3.111111111111111
2000,15E,956_Purple,2000-06-15,646.0,646.0,2000-07-14,692.0,692.0,20,15E_2000,29,1.5862068965517242
2000,15E,956_Purple,2000-07-14,692.0,692.0,2000-08-11,718.0,718.0,20,15E_2000,28,0.9285714285714286
2000,23E,901_Purple,2000-05-19,716.0,716.0,2000-06-15,790.0,790.0,25,23E_2000,27,2.740740740740741
2000,23E,901_Purple,2000-06-15,790.0,790.0,2000-07-14,810.0,810.0,25,23E_2000,29,0.6896551724137931
2000,23E,901_Purple,2000-07-14,810.0,810.0,2000-08-11,854.0,854.0,25,23E_2000,28,1.5714285714285714
2000,23E,902_Purple,2000-05-19,648.0,648.0,2000-06-15,740.0,740.0,25,23E_2000,27,3.4074074074074074
2000,23E,902_Purple,2000-06-15,740.0,740.0,2000-07-14,750.0,750.0,25,23E_2000,29,0.3448275862068966
2000,23E,902_Purple,2000-07-14,750.0,750.0,2000-08-11,810.0,810.0,25,23E_2000,28,2.142857142857143
2000,23E,906_Purple,2000-05-19,782.0,782.0,2000-06-15,870.0,870.0,25,23E_2000,27,3.259259259259259
2000,23E,906_Purple,2000-06-15,870.0,870.0,2000-07-14,872.0,872.0,25,23E_2000,29,0.06896551724137931
2000,23E,906_Purple,2000-07-14,872.0,872.0,2000-08-11,930.0,930.0,25,23E_2000,28,2.0714285714285716
2000,23E,907_Purple,2000-05-19,670.0,670.0,2000-06-15,768.0,768.0,25,23E_2000,27,3.6296296296296298
2000,23E,907_Purple,2000-06-15,768.0,768.0,2000-07-14,780.0,780.0,25,23E_2000,29,0.41379310344827586
2000,23E,907_Purple,2000-07-14,780.0,780.0,2000-08-11,826.0,826.0,25,23E_2000,28,1.6428571428571428
2000,23E,909_Purple,2000-05-19,744.0,744.0,2000-06-15,792.0,792.0,25,23E_2000,27,1.7777777777777777
2000,23E,909_Purple,2000-06-15,792.0,792.0,2000-07-14,832.0,832.0,25,23E_2000,29,1.3793103448275863
2000,23E,909_Purple,2000-07-14,832.0,832.0,2000-08-11,868.0,868.0,25,23E_2000,28,1.2857142857142858
2000,23E,915_Brown,2000-05-19,512.0,512.0,2000-06-15,584.0,584.0,25,23E_2000,27,2.6666666666666665
2000,23E,915_Brown,2000-06-15,584.0,584.0,2000-07-14,622.0,622.0,25,23E_2000,29,1.3103448275862069
2000,23E,915_Brown,2000-07-14,622.0,622.0,2000-08-11,680.0,680.0,25,23E_2000,28,2.0714285714285716
2000,23E,917_Brown,2000-05-19,564.0,564.0,2000-06-15,632.0,632.0,25,23E_2000,27,2.5185185185185186
2000,23E,917_Brown,2000-06-15,632.0,632.0,2000-07-14,664.0,664.0,25,23E_2000,29,1.103448275862069
2000,23E,917_Brown,2000-07-14,664.0,664.0,2000-08-11,726.0,726.0,25,23E_2000,28,2.2142857142857144
2000,23E,920_Brown,2000-05-19,570.0,570.0,2000-06-15,628.0,628.0,25,23E_2000,27,2.1481481481481484
2000,23E,920_Brown,2000-06-15,628.0,628.0,2000-07-14,656.0,656.0,25,23E_2000,29,0.9655172413793104
2000,23E,920_Brown,2000-07-14,656.0,656.0,2000-08-11,708.0,708.0,25,23E_2000,28,1.8571428571428572
2000,23E,922_Purple,2000-05-19,608.0,608.0,2000-06-15,682.0,682.0,25,23E_2000,27,2.740740740740741
2000,23E,922_Purple,2000-06-15,682.0,682.0,2000-07-14,698.0,698.0,25,23E_2000,29,0.5517241379310345
2000,23E,922_Purple,2000-07-14,698.0,698.0,2000-08-11,758.0,758.0,25,23E_2000,28,2.142857142857143
2000,23E,924_Brown,2000-05-19,532.0,532.0,2000-06-15,596.0,596.0,25,23E_2000,27,2.3703703703703702
2000,23E,924_Brown,2000-06-15,596.0,596.0,2000-07-14,620.0,620.0,25,23E_2000,29,0.8275862068965517
2000,23E,924_Brown,2000-07-14,620.0,620.0,2000-08-11,692.0,692.0,25,23E_2000,28,2.5714285714285716
2000,23E,930_Brown,2000-05-19,588.0,588.0,2000-06-15,644.0,644.0,25,23E_2000,27,2.074074074074074
2000,23E,930_Brown,2000-06-15,644.0,644.0,2000-07-14,674.0,674.0,25,23E_2000,29,1.0344827586206897
2000,23E,930_Brown,2000-07-14,674.0,674.0,2000-08-11,732.0,732.0,25,23E_2000,28,2.0714285714285716
2000,23E,932_Brown,2000-05-19,600.0,600.0,2000-06-15,650.0,650.0,25,23E_2000,27,1.8518518518518519
2000,23E,932_Brown,2000-06-15,650.0,650.0,2000-07-14,668.0,668.0,25,23E_2000,29,0.6206896551724138
2000,23E,932_Brown,2000-07-14,668.0,668.0,2000-08-11,732.0,732.0,25,23E_2000,28,2.2857142857142856
2000,23E,935_Purple,2000-05-19,684.0,684.0,2000-06-15,774.0,774.0,25,23E_2000,27,3.3333333333333335
2000,23E,935_Purple,2000-06-15,774.0,774.0,2000-07-14,794.0,794.0,25,23E_2000,29,0.6896551724137931
2000,23E,935_Purple,2000-07-14,794.0,794.0,2000-08-11,866.0,866.0,25,23E_2000,28,2.5714285714285716
2000,23E,936_Brown,2000-05-19,499.0,499.0,2000-06-15,568.0,568.0,25,23E_2000,27,2.5555555555555554
2000,23E,936_Brown,2000-06-15,568.0,568.0,2000-07-14,614.0,614.0,25,23E_2000,29,1.5862068965517242
2000,23E,936_Brown,2000-07-14,614.0,614.0,2000-08-11,686.0,686.0,25,23E_2000,28,2.5714285714285716
2000,23E,936_Purple,2000-05-19,700.0,700.0,2000-06-15,786.0,786.0,25,23E_2000,27,3.185185185185185
2000,23E,936_Purple,2000-06-15,786.0,786.0,2000-07-14,802.0,802.0,25,23E_2000,29,0.5517241379310345
2000,23E,936_Purple,2000-07-14,802.0,802.0,2000-08-11,866.0,866.0,25,23E_2000,28,2.2857142857142856
2000,23E,937_Purple,2000-05-19,628.0,628.0,2000-06-15,698.0,698.0,25,23E_2000,27,2.5925925925925926
2000,23E,937_Purple,2000-06-15,698.0,698.0,2000-07-14,720.0,720.0,25,23E_2000,29,0.7586206896551724
2000,23E,937_Purple,2000-07-14,720.0,720.0,2000-08-11,768.0,768.0,25,23E_2000,28,1.7142857142857142
2000,23E,938_Purple,2000-05-19,650.0,650.0,2000-06-15,714.0,714.0,25,23E_2000,27,2.3703703703703702
2000,23E,938_Purple,2000-06-15,714.0,714.0,2000-07-14,724.0,724.0,25,23E_2000,29,0.3448275862068966
2000,23E,938_Purple,2000-07-14,724.0,724.0,2000-08-11,782.0,782.0,25,23E_2000,28,2.0714285714285716
