Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,2,TGM,24W,Loamy,NonMCLO,2,1,10,458.0,0.0,136.7,0.0,13.5,0.0,458.0,13.5,
2013,2,TGM,24W,Loamy,NonMCLO,2,1,20,189.4,0.0,61.4,0.0,5.9,0.0,189.4,148.5,
2013,2,TGM,24W,Loamy,NonMCLO,2,4,10,258.9,0.0,4.3,35.5,9.1,0.0,258.9,167.4,
2013,2,TGM,24W,Loamy,NonMCLO,2,4,20,260.5,57.0,0.0,186.2,7.0,64.0,317.5,468.8,
2013,2,TGM,24W,Loamy,NonMCLO,3,1,10,233.6,0.0,5.4,51.7,0.0,0.0,233.6,68.9,
2013,2,TGM,24W,Loamy,NonMCLO,3,1,20,365.4,0.0,128.6,6.5,268.6,0.0,365.4,57.6,
2013,2,TGM,24W,Loamy,NonMCLO,3,4,10,868.6,12.4,0.0,0.0,9.1,0.0,881.0,156.1,
2013,2,TGM,24W,Loamy,NonMCLO,4,1,10,320.8,17.2,0.0,0.0,33.9,0.0,338.0,59.2,
2013,2,TGM,24W,Loamy,NonMCLO,4,1,20,594.2,0.0,0.0,48.4,59.7,0.0,594.2,84.0,
2013,2,TGM,24W,Loamy,NonMCLO,4,4,10,277.2,0.0,59.2,40.4,155.0,0.0,277.2,6.5,
2013,2,TGM,24W,Loamy,NonMCLO,4,4,20,555.4,0.0,14.0,0.0,14.5,0.0,555.4,60.3,
2013,3,AGM,26W,Loamy,MCLO,1,1,10,236.8,0.0,70.0,17.2,10.8,0.0,236.8,11.3,
2013,3,AGM,26W,Loamy,MCLO,1,1,20,153.9,0.0,122.7,175.5,14.0,0.0,153.9,7.5,
2013,3,AGM,26W,Loamy,MCLO,1,4,10,275.6,0.0,173.3,125.9,318.6,0.0,275.6,7.0,
2013,3,AGM,26W,Loamy,MCLO,1,4,20,403.1,33.9,145.3,301.9,184.6,0.0,437.0,10.8,
