index,Year,PastureID,on_date,off_date,on_wt_raw,on_wt,off_wt_raw,off_wt,on_ct,period_days,adg,outlier_adg_upr,outlier_adg_lwr,outlier_adg,outlier_on_wt_upr,outlier_on_wt_lwr,outlier_on_wt,outlier_off_wt_upr,outlier_off_wt_lwr,outlier_off_wt,num_animals,area_ha,on_ct_ha,on_au,on_au_ha,CP,DOM,Biomass_kg_ha,forage_kg_au,period
263,2020,15E,2020-08-06,2020-09-03,812.3157894736842,739.2073684210527,861.2631578947369,800.1134736842106,23.0,28.0,2.175218045112782,4.454527485014465,-0.10409139478890062,0.0,934.3319370540431,544.0827997880624,0.0,1027.3158835820116,572.9110637864094,0.0,19,132.26,0.17389989414789053,17.001769473684213,0.1285480831217618,6.977691358024692,60.839151851851874,386.67615333333333,752.0068443320748,3
264,2020,15E,2020-09-03,2020-10-02,861.2631578947369,800.1134736842106,875.578947368421,814.2884210526315,23.0,29.0,0.4887912885662427,2.523223206538157,-1.5456406294056715,0.0,1027.3158835820116,572.9110637864094,0.0,1041.296669639144,587.2801724661191,0.0,19,132.26,0.17389989414789053,18.402609894736845,0.13913964837998521,7.023873809523811,59.80505357142857,355.1256271428571,638.0741062623325,4
265,2020,19N,2020-05-16,2020-06-11,638.9473684210526,594.221052631579,758.0,692.054,26.0,26.0,3.7628056680161936,6.6435468318605935,0.8820645041717942,0.0,782.617737818643,405.824367444515,0.0,893.1296841987613,490.9783158012385,0.0,19,126.36,0.205761316872428,15.449747368421054,0.12226770630279403,8.790171200000001,65.71375653333335,358.2968388,732.6072632635381,0
266,2020,19N,2020-06-11,2020-07-09,759.8888888888889,693.7785555555555,839.0,766.0070000000001,26.0,28.0,2.579587301587302,4.452556537120102,0.7770708647178273,0.0,900.2433382325779,476.5455038726851,0.0,968.1015064125689,564.0085988505889,0.0,18,126.36,0.205761316872428,18.038242444444442,0.14275278920896203,9.076915555555555,65.21241530864197,381.7438477777777,668.5400857894617,1
267,2020,19N,2020-07-09,2020-08-06,839.0526315789474,766.055052631579,899.8947368421053,818.9042105263158,26.0,28.0,1.8874699248120304,3.573927408614405,0.20013687709988193,0.0,969.7036467153266,551.9021532846732,0.0,1033.4633111793564,599.0766888206439,0.0,19,126.36,0.205761316872428,19.917431368421056,0.15762449642625084,7.733244444444442,62.43936419753085,376.5915544444444,597.2922403920948,2
268,2020,19N,2020-08-06,2020-09-03,897.0,816.27,944.6,877.5334,26.0,28.0,2.1879785714285718,4.608896767791293,-0.23293962493414933,0.0,1033.4633111793564,599.0766888206439,0.0,1099.0076727118008,656.0591272881994,0.0,20,126.36,0.205761316872428,21.223019999999998,0.16795679012345677,7.104000000000001,61.01397407407407,378.8867322222223,563.9645946194275,3
269,2020,19N,2020-09-03,2020-10-02,944.6,877.5334,959.7,892.521,26.0,29.0,0.5168137931034479,2.866761862871996,-1.8331342766651004,0.0,1099.0076727118008,656.0591272881994,0.0,1140.3414837780767,644.7005162219234,0.0,20,126.36,0.205761316872428,22.8158684,0.18056242798353908,7.002050000000002,60.338089285714275,333.64163607142854,461.9477592839038,4
270,2020,23E,2020-05-16,2020-06-11,636.3448275862069,591.8006896551725,722.551724137931,659.6897241379311,34.0,26.0,2.611116710875332,5.337633677224142,-0.11540025547347765,0.0,737.065057161437,446.536322148908,0.0,795.5388902098414,523.8405580660207,0.0,29,119.77,0.28387743174417635,20.121223448275867,0.16799885988374275,8.9029808,65.37864533333334,454.11972840000004,675.777991461157,0
271,2020,23E,2020-06-11,2020-07-09,719.7333333333333,657.1165333333333,762.2666666666667,695.9494666666667,34.0,28.0,1.3868904761904761,2.6906588711351374,0.08312208124581488,0.0,797.1392839856765,517.0937826809902,0.0,842.3734829692502,549.5254503640829,0.0,30,119.77,0.28387743174417635,22.341962133333332,0.1865405538393031,7.707370370370371,62.724469876543196,407.38382185185185,545.9721940715315,1
272,2020,23E,2020-07-09,2020-08-06,762.2666666666667,695.9494666666667,794.9333333333333,723.3893333333333,34.0,28.0,0.9799952380952381,3.084340915809805,-1.124350439619329,0.0,842.3734829692502,549.5254503640829,0.0,884.357877066959,562.4207895997076,0.0,30,119.77,0.28387743174417635,23.662281866666667,0.19756434722106261,7.157466666666666,60.60454814814815,365.2339648148147,462.1708951440261,2
273,2020,23E,2020-08-06,2020-09-03,794.9333333333333,723.3893333333333,795.6666666666666,739.1743333333333,34.0,28.0,0.5637500000000001,3.2085739610459134,-2.081073961045913,0.0,884.357877066959,562.4207895997076,0.0,894.1861666940873,584.1624999725799,0.0,30,119.77,0.28387743174417635,24.595237333333333,0.20535390609779858,6.986701234567903,60.94599259259261,336.385227037037,409.5189049835209,3
274,2020,23E,2020-09-03,2020-10-02,795.6666666666666,739.1743333333333,785.5333333333333,730.546,34.0,29.0,-0.2975287356321842,1.6069850260876142,-2.2020424973519828,0.0,894.1861666940873,584.1624999725799,0.0,899.0180534156007,562.0739465843997,0.0,30,119.77,0.28387743174417635,25.13192733333333,0.20983491135788035,7.015485714285712,60.143546428571426,288.1739578571428,343.334143008325,4
275,2020,23W,2020-05-16,2020-06-11,631.1428571428571,586.9628571428572,726.1428571428571,662.9684285714286,17.0,26.0,2.9232912087912086,5.183250460301343,0.6633319572810757,0.0,737.7057281240361,436.21998616167826,0.0,808.5298697814649,517.4069873613923,0.0,14,126.48,0.13440860215053763,9.978368571428572,0.07889285714285714,8.7401472,65.53183920000001,466.90721560000003,1479.5611177908556,0
276,2020,23W,2020-06-11,2020-07-09,723.3333333333334,660.4033333333333,817.8,746.6514000000001,17.0,28.0,3.080288095238095,5.489178310746415,0.6713978797297742,0.0,803.8012287751524,517.0054378915145,0.0,878.8720479316191,614.430752068381,0.0,15,126.48,0.13440860215053763,11.226856666666666,0.08876388888888888,8.663962469135802,65.07162592592591,460.0085048148148,1295.595851457779,1
277,2020,23W,2020-07-09,2020-08-06,817.8,746.6514000000001,873.7333333333333,795.0973333333333,17.0,28.0,1.7302119047619047,2.6627459821178094,0.7976778274059997,0.0,878.8720479316191,614.430752068381,0.0,922.3761900221016,667.818476644565,0.0,15,126.48,0.13440860215053763,12.6930738,0.10035637096774194,7.174207407407407,61.279634567901226,413.6228225925926,1030.3850632600734,2
278,2020,23W,2020-08-06,2020-09-03,873.7333333333333,795.0973333333333,942.6666666666666,875.7373333333333,17.0,28.0,2.8800000000000003,4.340667005621734,1.4193329943782662,0.0,922.3761900221016,667.818476644565,0.0,1018.3406705713818,733.1339960952849,0.0,15,126.48,0.13440860215053763,13.516654666666666,0.1068679211469534,7.32133086419753,61.01326296296296,398.7872492592592,932.8974611354362,3
279,2020,23W,2020-09-03,2020-10-02,942.6666666666666,875.7373333333333,953.7333333333333,886.972,17.0,29.0,0.38740229885057464,2.601166593585093,-1.8263619958839437,0.0,1018.3406705713818,733.1339960952849,0.0,1039.7555423448107,734.1884576551892,0.0,15,126.48,0.13440860215053763,14.887534666666665,0.11770663082437274,7.094335714285715,60.92250357142856,377.9865653571428,802.8149364013476,4
