ID,PastureCode,Year,YearNum,Rest,SDperHa_June15LastYear_to_June15ThisYear,NumSteers,RotationOrder,TriggerUsed,TriggerUsedID,DateInPasture,DateOutPasture,Days,split_herd,comments,,
68,26E,2014,2014,0,17.57,20,,,,5/15/2014,10/6/2014,144,,,,
69,25SE,2014,2014,0,17.36,20,,,,5/15/2014,10/6/2014,144,,,,
70,31E,2014,2014,0,17.62,24,,,,5/15/2014,10/6/2014,144,,,,
71,19N,2014,2014,0,18.11,24,,,,5/15/2014,10/6/2014,144,,,,
72,7NW,2014,2014,0,17.22,20,,,,5/15/2014,10/6/2014,144,,,,
73,5E,2014,2014,0,18.04,22,,,,5/15/2014,10/6/2014,144,,,,
74,17N,2014,2014,0,16.82,22,,,,5/15/2014,10/6/2014,144,,,,
75,20SE,2014,2014,0,17.59,22,,,,5/15/2014,10/6/2014,144,,,,
76,NH,2015,2015,0,0,224,3,VOR or Behavior?,3,7/7/2015,8/20/2015,44,,,,
77,21N,2015,2015,0,0,224,4,EndofSeason,5,8/20/2015,10/3/2015,44,,,,
78,26W,2015,2015,1,173.22,0,0,,,,,0,,,,
79,25NW,2015,2015,1,141.26,0,0,,,,,0,,,,
80,31W,2015,2015,1,0,0,0,,,,,0,,,,
81,18S,2015,2015,0,28.47,224,1,VOR on burn in Saltflat,3,5/15/2015,5/27/2015,12,,,,
82,7SE,2015,2015,1,40.09,0,0,,,,,0,,,,
83,8E,2015,2015,1,63.94,0,0,,,,,0,,,,
84,17S,2015,2015,0,139.48,224,2,VOR or Behavior?,3,5/27/2015,7/7/2015,41,,,,
85,20NW,2015,2015,1,0,0,0,,,,,0,,,,
86,2930,2015,2015,0,24.75,66,,,,5/15/2015,10/3/2015,141,,,,
87,22E,2015,2015,0,22.18,20,,,,5/15/2015,10/3/2015,141,,,,
88,22W,2015,2015,0,21.89,20,,,,5/15/2015,10/3/2015,141,,,,
89,5W,2015,2015,0,24.01,22,,,,5/15/2015,10/3/2015,141,,,,
90,CN,2015,2015,0,22.24,60,,,,5/15/2015,10/3/2015,141,,,,
91,15E,2015,2015,0,21.87,21,,,,5/15/2015,10/3/2015,141,,,,
92,24W,2015,2015,0,23.22,21,,,,5/15/2015,10/3/2015,141,,,,
93,26E,2015,2015,0,23.08,21,,,,5/15/2015,10/3/2015,141,,,,
94,25SE,2015,2015,0,22.8,21,,,,5/15/2015,10/3/2015,141,,,,
95,31E,2015,2015,0,23.93,25,,,,5/15/2015,10/3/2015,141,,,,
96,19N,2015,2015,0,26.99,25,,,,5/15/2015,10/3/2015,141,,,,
97,7NW,2015,2015,0,22.62,21,,,,5/15/2015,10/3/2015,141,,,,
98,5E,2015,2015,0,25.34,23,,,,5/15/2015,10/3/2015,141,,,,
99,17N,2015,2015,0,24.86,23,,,,5/15/2015,10/3/2015,141,,,,
100,20SE,2015,2015,0,24.71,23,,,,5/15/2015,10/3/2015,141,,,,
101,NH,2016,2016,1,120.19,0,0,,,,,0,,,,
102,21N,2016,2016,1,195.99,0,0,,,,,0,,,,
103,26W,2016,2016,0,0,234,5,MaxDays,2,8/12/2016,9/6/2016,25,,,,
104,25NW,2016,2016,0,0,234,4,VOR,3,7/25/2016,8/12/2016,18,,,,
105,31W,2016,2016,0,0,234,3,MaxDays,2,6/30/2016,7/25/2016,25,,,,
106,18S,2016,2016,0,0,234,6,"MaxDays (remainder of season, given last 10 days in HQ)",5,9/6/2016,9/20/2016,14,,,,
107,7SE,2016,2016,0,0,234,7,EndofSeason,5,9/20/2016,10/1/2016,11,,,,
108,8E,2016,2016,0,46,234,1,MaxDays,2,5/13/2016,6/7/2016,25,,,,
109,17S,2016,2016,1,38.28,0,0,,,,,0,,,,
110,20NW,2016,2016,0,14.56,234,2,MaxDays,2,6/7/2016,6/30/2016,23,,,,
111,2930,2016,2016,0,25.09,72,,,,5/13/2016,10/1/2016,141,,,,
112,22E,2016,2016,0,22.54,22,,,,5/13/2016,10/1/2016,141,,,,
