Year,Date,Id,iapar,pct_cover,pct_green,pct_litt,pct_bare,pct_sd,abs_green,abs_sd,rel_bare,rel_litt,rel_sd,rel_green,pct_c4_ras,pct_c3_ras,ndvi,dfi,ndti,satvi,ndii7,blue,green,red,nir,swir1,swir2,bai_346,bai_146,bai_136,bai_236,bai_126,bai_246,pct_canopy,abs_cover
2013,2013-06-12,10S_P4_2,53.752213,0.6000000000000001,0.54,0.24,0.16,0.06,1.04,0.2,0.10989010989010989,0.2087912087912088,0.10989010989010989,0.5714285714285714,0.5817870398362478,0.2671000038584073,0.3081272,11.085406,0.116847664,0.19141404,-0.0483584,870.62665,1111.0013,1276.3064,2409.993,3362.0273,2660.535,129.15254,137.70644,162.59949,169.2877,156.4156,135.86754,0.48,1.24
2013,2013-06-12,10S_P4_3,51.43878,0.54,0.44,0.32,0.14,0.1,0.88,0.2,0.14285714285714285,0.30612244897959184,0.10204081632653061,0.4489795918367347,,,0.2922986,11.321433,0.11473608,0.18464746,-0.055520356,860.7962,1107.6632,1291.2455,2357.6743,3317.8857,2634.5989,131.30519,138.80037,160.81888,166.75298,155.51907,137.29485,0.5,1.08
2013,2013-06-12,10S_P4_4,55.305313,0.54,0.4,0.36,0.1,0.14,0.58,0.32,0.14285714285714285,0.32142857142857145,0.19047619047619047,0.34523809523809523,,,0.30166873,11.196256,0.116020046,0.18801121,-0.049703047,861.316,1106.2367,1292.7256,2407.0017,3359.8098,2662.0024,129.62715,137.62634,160.98187,166.63594,155.96909,135.8585,0.44,0.8999999999999999
2013,2013-06-12,15E_P1_1,51.615864,0.52,0.42,0.22,0.26,0.1,0.64,0.32,0.20212765957446807,0.2872340425531915,0.1702127659574468,0.3404255319148936,0.7944203714529673,0.1517333338658014,0.29176116,10.252793,0.10321968,0.17548527,-0.05403124,910.4468,1187.8578,1388.3296,2528.3826,3471.0642,2823.8203,129.415,136.7476,158.81927,165.33722,153.16249,135.42897,0.48,0.96
2013,2013-06-12,15E_P1_2,55.589832,0.5,0.48,0.28,0.22,0.02,0.94,0.04,0.17105263157894737,0.18421052631578946,0.02631578947368421,0.618421052631579,0.7861148118972778,0.1585592602690061,0.30047503,10.221028,0.10479047,0.17252533,-0.037070714,885.2945,1167.3864,1364.8118,2536.034,3373.3372,2734.3425,127.615265,135.12025,158.12355,165.09598,152.08414,133.78656,0.24,0.98
2013,2013-06-12,15E_P1_3,52.239304,0.6599999999999999,0.6,0.22,0.12,0.06,1.04,0.2,0.14705882352941177,0.24509803921568626,0.09803921568627451,0.5098039215686274,0.8024259209632874,0.1441925937930742,0.30041692,10.0723915,0.103337996,0.17210151,-0.039324533,874.7715,1151.4254,1344.3568,2496.4153,3327.5334,2706.159,128.19287,135.75829,158.61009,165.5657,152.5342,134.4112,0.62,1.24
2013,2013-06-12,15E_P1_4,49.21091,0.52,0.48,0.28,0.2,0.04,1.02,0.24,0.14736842105263157,0.18947368421052632,0.12631578947368421,0.5368421052631579,0.7553814848264059,0.1706370388468106,0.28206095,9.988606,0.097697176,0.16367257,-0.05010965,926.15204,1224.0183,1455.4814,2596.9463,3494.4336,2873.0205,129.16304,135.61554,155.91574,161.71315,151.22694,134.5401,0.42,1.26
2013,2013-06-12,15E_P2_1,49.50424,0.54,0.5,0.22,0.24,0.04,0.94,0.14,0.17647058823529413,0.18823529411764706,0.08235294117647059,0.5529411764705883,0.8008851806322733,0.1488129645586013,0.28078148,10.014789,0.097494185,0.16736579,-0.058541734,913.91016,1208.1154,1420.7535,2531.1877,3460.2815,2844.3552,130.52919,136.96901,157.13763,163.86888,151.45673,136.05109,0.4,1.08
2013,2013-06-12,15E_P2_2,58.22794,0.62,0.54,0.24,0.14,0.08,0.96,0.14,0.07228915662650602,0.26506024096385544,0.08433734939759036,0.5783132530120482,0.6248907446861267,0.2838703766465187,0.29529437,11.13869,0.113402605,0.17649911,-0.035336893,881.9988,1168.5044,1401.5288,2576.7156,3473.5527,2764.245,127.76132,134.30511,155.99559,161.282,151.85274,132.96791,0.46,1.1
2013,2013-06-12,15E_P2_3,49.988125,0.56,0.5,0.26,0.18,0.06,1.0,0.18,0.15789473684210525,0.22105263157894736,0.09473684210526316,0.5263157894736842,0.7792351941267649,0.1659962981939315,0.27033368,9.810366,0.093061715,0.1583454,-0.059486777,942.7552,1249.4341,1493.9811,2601.2039,3532.0627,2930.1484,130.7006,136.40614,154.93892,160.4511,150.63885,135.5851,0.54,1.18
