"Year","Pasture","Treatment","Allocation.number","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Date","Weight","Percent_Shrink","Weight_Shrunk","Use_Flag","Outlier_Flag1"
2000,"15E","LTGI_MOD","20",NA,928,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,540,0,540,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,928,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,606,0,606,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,928,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,632,0,632,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,928,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,640,0,640,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,930,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,688,0,688,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,930,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,736,0,736,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,930,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,762,0,762,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,930,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,800,0,800,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,931,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,650,0,650,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,931,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,734,0,734,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,931,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,772,0,772,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,931,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,820,0,820,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,932,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,574,0,574,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,932,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,654,0,654,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,932,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,688,0,688,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,932,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,688,0,688,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,934,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,614,0,614,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,934,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,684,0,684,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,934,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,712,0,712,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,934,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,728,0,728,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,942,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,489,0,489,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,942,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,560,0,560,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,942,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,602,0,602,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,942,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,650,0,650,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,952,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,526,0,526,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,952,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,596,0,596,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,952,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,628,0,628,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,952,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,682,0,682,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,953,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,550,0,550,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,953,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,634,0,634,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,953,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,668,0,668,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,953,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,696,0,696,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,956,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,562,0,562,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,956,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,646,0,646,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,956,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,692,0,692,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,956,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,718,0,718,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,901,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,716,0,716,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,901,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,790,0,790,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,901,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,810,0,810,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,901,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,854,0,854,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,902,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,648,0,648,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,902,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,740,0,740,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,902,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,750,0,750,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,902,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,810,0,810,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,906,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,782,0,782,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,906,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,870,0,870,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,906,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,872,0,872,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,906,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,930,0,930,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,907,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,670,0,670,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,907,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,768,0,768,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,907,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,780,0,780,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,907,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,826,0,826,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,909,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,744,0,744,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,909,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,792,0,792,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,909,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,832,0,832,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,909,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,868,0,868,"Yes","good"
