"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"CARM","21N","14",805,2013-05-30,2013-09-28,600.78,894.66,121,293.88,2.42876033057851
2013,"CARM","21N","14",810,2013-05-30,2013-09-28,578.46,835.14,121,256.68,2.12132231404959
2013,"CARM","21N","14",844,2013-05-30,2013-09-28,528.24,827.7,121,299.46,2.47487603305785
2013,"CARM","25NW","14",29,2013-05-30,2013-09-28,578.46,838.86,121,260.4,2.15206611570248
2013,"CARM","25NW","14",33,2013-05-30,2013-09-28,600.78,928.14,121,327.36,2.70545454545455
2013,"CARM","25NW","14",136,2013-05-30,2013-09-28,645.42,935.58,121,290.16,2.39801652892562
2013,"CARM","25NW","14",144,2013-05-30,2013-09-28,500.34,777.48,121,277.14,2.2904132231405
2013,"CARM","25NW","14",149,2013-05-30,2013-09-28,572.88,850.02,121,277.14,2.2904132231405
2013,"CARM","25NW","14",173,2013-05-30,2013-09-28,515.22,809.1,121,293.88,2.42876033057851
2013,"CARM","25NW","14",443,2013-05-30,2013-09-28,611.94,879.78,121,267.84,2.21355371900826
2013,"CARM","25NW","14",512,2013-05-30,2013-09-28,526.38,848.16,121,321.78,2.65933884297521
2013,"CARM","25NW","14",518,2013-05-30,2013-09-28,537.54,794.22,121,256.68,2.12132231404959
2013,"CARM","25NW","14",614,2013-05-30,2013-09-28,673.32,948.6,121,275.28,2.27504132231405
2013,"CARM","25NW","14",666,2013-05-30,2013-09-28,548.7,874.2,121,325.5,2.6900826446281
2013,"CARM","25NW","14",672,2013-05-30,2013-09-28,465,729.12,121,264.12,2.18280991735537
2013,"CARM","25NW","14",728,2013-05-30,2013-09-28,585.9,868.62,121,282.72,2.33652892561983
2013,"CARM","25NW","14",836,2013-05-30,2013-09-28,624.96,924.42,121,299.46,2.47487603305785
2013,"CARM","26W","14",21,2013-05-30,2013-09-28,500.34,818.4,121,318.06,2.62859504132231
2013,"CARM","26W","14",22,2013-05-30,2013-09-28,611.94,939.3,121,327.36,2.70545454545455
2013,"CARM","26W","14",27,2013-05-30,2013-09-28,559.86,798.87,121,239.01,1.97528925619835
2013,"CARM","26W","14",68,2013-05-30,2013-09-28,481.74,751.44,121,269.7,2.22892561983471
2013,"CARM","26W","14",81,2013-05-30,2013-09-28,526.38,835.14,121,308.76,2.55173553719008
2013,"CARM","26W","14",135,2013-05-30,2013-09-28,537.54,837,121,299.46,2.47487603305785
2013,"CARM","26W","14",154,2013-05-30,2013-09-28,673.32,978.36,121,305.04,2.52099173553719
2013,"CARM","26W","14",407,2013-05-30,2013-09-28,576.6,838.86,121,262.26,2.16743801652893
2013,"CARM","26W","14",428,2013-05-30,2013-09-28,624.96,939.3,121,314.34,2.59785123966942
2013,"CARM","26W","14",433,2013-05-30,2013-09-28,548.7,803.52,121,254.82,2.10595041322314
