index,model,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
1151,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + ndti + bai_126 + bai_136 + dfi:ndvi + dfi:ndti + dfi:bai_126 + dfi:bai_136 + ndvi:ndti + ndvi:bai_126 + ndvi:bai_136 + ndti:bai_126 + ndti:bai_136 + bai_126:bai_136,simp,0.6528,0.6505,1335.5791,340.1194,82.0666,0.0591,0.4111,0.1488,0.6478,229.367,44.324,0.2553,0.039,0.3278,0.0476,0.0495,0.0085,188.2495,0.3866,0.2184,328.0215,0.2789,0.1004,0.4253
1152,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + satvi + nir + swir1 + dfi:ndvi + dfi:satvi + dfi:nir + dfi:swir1 + ndvi:satvi + ndvi:nir + ndvi:swir1 + satvi:nir + satvi:swir1 + nir:swir1,simp,0.6989,0.697,1008.6583,312.3632,70.9345,0.0512,0.3797,0.1393,0.6093,209.6314,36.0188,0.2346,0.0304,0.3055,0.0471,0.0461,0.0086,178.9727,0.368,0.1936,269.8849,0.2562,0.0935,0.4224
1153,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + satvi + nir + swir2 + dfi:ndvi + dfi:satvi + dfi:nir + dfi:swir2 + ndvi:satvi + ndvi:nir + ndvi:swir2 + satvi:nir + satvi:swir2 + nir:swir2,simp,0.7041,0.7021,969.2196,307.8722,68.8102,0.0489,0.3726,0.1327,0.6147,207.7167,33.0209,0.2332,0.0279,0.3025,0.0403,0.0457,0.0075,171.5747,0.3522,0.1879,266.0015,0.2534,0.0903,0.421
1154,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + satvi + swir1 + bai_126 + dfi:ndvi + dfi:satvi + dfi:swir1 + dfi:bai_126 + ndvi:satvi + ndvi:swir1 + ndvi:bai_126 + satvi:swir1 + satvi:bai_126 + swir1:bai_126,simp,0.7039,0.7019,970.6004,309.3021,72.5254,0.0482,0.3756,0.1383,0.6061,206.5063,35.4861,0.2312,0.031,0.301,0.0478,0.0455,0.0086,173.2443,0.3563,0.1862,264.7761,0.2521,0.0912,0.412
1155,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + satvi + swir2 + bai_126 + dfi:ndvi + dfi:satvi + dfi:swir2 + dfi:bai_126 + ndvi:satvi + ndvi:swir2 + ndvi:bai_126 + satvi:swir2 + satvi:bai_126 + swir2:bai_126,simp,0.7092,0.7073,929.1523,305.4629,71.4098,0.0454,0.3696,0.133,0.6109,205.351,33.9853,0.2307,0.0291,0.3002,0.0424,0.0453,0.0077,167.7973,0.3446,0.179,261.1283,0.2504,0.0894,0.4144
1156,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + nir + swir1 + bai_136 + dfi:ndvi + dfi:nir + dfi:swir1 + dfi:bai_136 + ndvi:nir + ndvi:swir1 + ndvi:bai_136 + nir:swir1 + nir:bai_136 + swir1:bai_136,simp,0.6961,0.6941,1029.8612,313.2366,69.8533,0.0544,0.3814,0.1409,0.6032,209.7561,36.3892,0.235,0.0305,0.3066,0.0478,0.0463,0.0088,180.3865,0.3709,0.1953,276.2896,0.2561,0.0928,0.4162
1157,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + nir + swir2 + bai_136 + dfi:ndvi + dfi:nir + dfi:swir2 + dfi:bai_136 + ndvi:nir + ndvi:swir2 + ndvi:bai_136 + nir:swir2 + nir:bai_136 + swir2:bai_136,simp,0.7015,0.6995,989.3257,307.9586,69.5982,0.0532,0.3725,0.1316,0.6032,209.6456,35.2574,0.2366,0.0279,0.306,0.0393,0.0462,0.0074,174.3605,0.3577,0.1903,273.2656,0.2554,0.0907,0.4215
1158,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + swir1 + bai_126 + bai_136 + dfi:ndvi + dfi:swir1 + dfi:bai_126 + dfi:bai_136 + ndvi:swir1 + ndvi:bai_126 + ndvi:bai_136 + swir1:bai_126 + swir1:bai_136 + bai_126:bai_136,simp,0.7053,0.7034,959.6558,308.6402,69.9239,0.0501,0.375,0.1375,0.6102,206.3849,34.6531,0.2312,0.0306,0.3006,0.0465,0.0454,0.0085,172.6013,0.3548,0.1857,266.3612,0.252,0.0915,0.4229
1159,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndvi + swir2 + bai_126 + bai_136 + dfi:ndvi + dfi:swir2 + dfi:bai_126 + dfi:bai_136 + ndvi:swir2 + ndvi:bai_126 + ndvi:bai_136 + swir2:bai_126 + swir2:bai_136 + bai_126:bai_136,simp,0.7094,0.7075,927.8921,305.2279,70.5986,0.0489,0.3694,0.1325,0.6101,205.734,34.9377,0.2306,0.0299,0.2991,0.0423,0.0452,0.0078,167.9154,0.3446,0.1799,266.3726,0.2509,0.0904,0.4236
1160,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + ndii7 + nir + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:nir + ndti:satvi + ndti:ndii7 + ndti:nir + satvi:ndii7 + satvi:nir + ndii7:nir,simp,0.704,0.702,970.0795,310.8274,67.836,0.0491,0.3751,0.1289,0.6077,209.1283,34.1255,0.2336,0.026,0.3034,0.0386,0.0458,0.0073,170.0133,0.349,0.1878,259.0373,0.2543,0.0881,0.4186
1161,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + ndii7 + swir1 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:swir1 + ndti:satvi + ndti:ndii7 + ndti:swir1 + satvi:ndii7 + satvi:swir1 + ndii7:swir1,simp,0.6974,0.6954,1020.6624,315.9864,68.6715,0.0501,0.3822,0.133,0.6098,210.6861,34.5641,0.235,0.0282,0.3061,0.043,0.0462,0.008,173.9585,0.3575,0.1919,269.9212,0.2563,0.0887,0.4113
1162,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + ndii7 + bai_126 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:bai_126 + ndti:satvi + ndti:ndii7 + ndti:bai_126 + satvi:ndii7 + satvi:bai_126 + ndii7:bai_126,simp,0.6819,0.6798,1134.5945,322.3844,71.9142,0.0552,0.3891,0.1349,0.6277,217.2082,36.6097,0.2433,0.0284,0.3146,0.04,0.0475,0.0076,178.2717,0.366,0.2069,281.0898,0.2638,0.091,0.4227
