Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1
18S,6/10/2014,2,5,56,10,stco,g,0
18S,6/10/2014,2,6,58,5,stco,g,0
18S,6/10/2014,2,7,52,13,stco,g,0
18S,6/10/2014,2,8,44,15,stco,g,0
18S,6/10/2014,2,9,48,11,stco,g,0
18S,6/10/2014,2,10,63,20,stco,g,0
18S,6/10/2014,2,11,52,18,stco,g,0
18S,6/10/2014,2,12,54,3,vuoc,g,1
18S,6/10/2014,2,13,22,1,stco,g,0
18S,6/10/2014,2,14,34,8,vuoc,g,1
18S,6/10/2014,2,15,34,10,sihy,g,0
18S,6/10/2014,2,16,48,10,stco,g,0
18S,6/10/2014,2,17,49,3,stco,g,0
18S,6/10/2014,2,18,42,5,stco,g,0
18S,6/10/2014,2,19,64,10,stco,g,0
18S,6/10/2014,2,20,52,3,bogr,g,0
18S,6/10/2014,2,21,51,9,stco,g,0
18S,6/10/2014,2,22,52,13,stco,g,0
18S,6/10/2014,2,23,54,7,stco,g,0
18S,6/10/2014,2,24,19,1,cael,g,0
18S,6/10/2014,2,25,52,10,stco,g,0
18S,6/10/2014,3,1,41,3,crmi,g,0
18S,6/10/2014,3,2,23,9,pasm,g,0
18S,6/10/2014,3,3,12,5,crmi,g,0
18S,6/10/2014,3,4,29,8,pasm,g,0
18S,6/10/2014,3,5,46,9,pasm,g,0
18S,6/10/2014,3,6,28,5,pasm,g,0
18S,6/10/2014,3,7,21,9,pasm,g,0
18S,6/10/2014,3,8,34,7,bogr,g,0
18S,6/10/2014,3,9,46,5,stco,g,0
18S,6/10/2014,3,10,34,9,pasm,g,0
18S,6/10/2014,3,11,22,2,pasm,g,0
18S,6/10/2014,3,12,15,3,crmi,g,0
18S,6/10/2014,3,13,59,5,stco,g,0
18S,6/10/2014,3,14,22,7,pasm,g,0
18S,6/10/2014,3,15,22,5,pasm,g,0
18S,6/10/2014,3,16,40,3,pasm,g,0
18S,6/10/2014,3,17,34,4,pasm,g,0
18S,6/10/2014,3,18,24,9,pasm,g,0
18S,6/10/2014,3,19,46,9,pasm,g,0
18S,6/10/2014,3,20,52,7,stco,g,0
18S,6/10/2014,3,21,21,6,stco,g,0
18S,6/10/2014,3,22,48,2,stco,g,0
18S,6/10/2014,3,23,26,5,pasm,g,0
18S,6/10/2014,3,24,13,3,pasm,g,0
18S,6/10/2014,3,25,42,5,pasm,g,0
18S,6/10/2014,4,1,42,8,oppo,g,1
18S,6/10/2014,4,2,12,4,bogr,g,0
18S,6/10/2014,4,3,29,4,oppo,g,1
18S,6/10/2014,4,4,48,2,stco,g,0
18S,6/10/2014,4,5,49,4,stco,g,0
18S,6/10/2014,4,6,58,8,bogr,g,0
18S,6/10/2014,4,7,31,7,crmi,g,0
18S,6/10/2014,4,8,44,3,oppo,g,1
18S,6/10/2014,4,9,11,2,bogr,g,0
18S,6/10/2014,4,10,46,13,stco,g,0
18S,6/10/2014,4,11,48,5,stco,g,0
18S,6/10/2014,4,12,21,4,bogr,g,0
18S,6/10/2014,4,13,23,8,pasm,g,0
18S,6/10/2014,4,14,22,6,pasm,g,0
18S,6/10/2014,4,15,21,3,bogr,g,0
18S,6/10/2014,4,16,12,2,bogr,g,0
18S,6/10/2014,4,17,13,7,chna,g,0
18S,6/10/2014,4,18,13,4,bogr,g,0
18S,6/10/2014,4,19,6,1,bogr,g,0
18S,6/10/2014,4,20,11,3,pasm,g,0
18S,6/10/2014,4,21,21,9,pasm,g,0
18S,6/10/2014,4,22,16,2,pasm,g,0
18S,6/10/2014,4,23,13,1,cael,g,0
18S,6/10/2014,4,24,7,1,eref,g,1
18S,6/10/2014,4,25,24,10,crmi,g,0
18S,6/17/2014,1,1,21,5,sihy,g,0
18S,6/17/2014,1,2,48,25,atca,g,0
18S,6/17/2014,1,3,18,10,sihy,g,0
18S,6/17/2014,1,4,35,8,oppo,g,1
18S,6/17/2014,1,5,34,11,atca,g,0
18S,6/17/2014,1,6,5,1,bogr,g,0
18S,6/17/2014,1,7,39,8,atca,g,0
18S,6/17/2014,1,8,16,3,bogr,g,0
18S,6/17/2014,1,9,20,3,thfi,g,0
18S,6/17/2014,1,10,11,1,bogr,g,0
18S,6/17/2014,1,11,18,5,oppo,g,1
18S,6/17/2014,1,12,7,3,mata,g,0
18S,6/17/2014,1,13,7,1,bogr,g,0
18S,6/17/2014,1,14,6,1,bogr,g,0
18S,6/17/2014,1,15,51,6,stco,g,0
18S,6/17/2014,1,16,19,3,sihy,g,0
18S,6/17/2014,1,17,69,5,stco,g,0
18S,6/17/2014,1,18,30,4,stco,g,0
18S,6/17/2014,1,19,52,2,vuoc,g,1
18S,6/17/2014,1,20,60,3,bogr,g,0
18S,6/17/2014,1,21,58,5,stco,g,0
18S,6/17/2014,1,22,61,8,sihy,g,0
18S,6/17/2014,1,23,56,7,oppo,g,1
18S,6/17/2014,1,24,42,1,bogr,g,0
18S,6/17/2014,1,25,52,2,stco,g,0
18S,6/17/2014,2,1,51,9,stco,g,0
18S,6/17/2014,2,2,56,6,stco,g,0
18S,6/17/2014,2,3,61,9,stco,g,0
18S,6/17/2014,2,4,43,15,sihy,g,0
18S,6/17/2014,2,5,59,9,stco,g,0
18S,6/17/2014,2,6,58,7,stco,g,0
18S,6/17/2014,2,7,74,11,stco,g,0
18S,6/17/2014,2,8,51,6,bogr,g,0
18S,6/17/2014,2,9,59,13,stco,g,0
18S,6/17/2014,2,10,29,2,stco,g,0
18S,6/17/2014,2,11,55,1,cael,g,0
18S,6/17/2014,2,12,42,3,stco,g,0
18S,6/17/2014,2,13,44,10,stco,g,0
18S,6/17/2014,2,14,50,10,stco,g,0
18S,6/17/2014,2,15,54,4,stco,g,0
18S,6/17/2014,2,16,30,21,atca,g,0
18S,6/17/2014,2,17,56,9,stco,g,0
18S,6/17/2014,2,18,64,8,stco,g,0
18S,6/17/2014,2,19,70,10,sihy,g,0
18S,6/17/2014,2,20,42,17,sihy,g,0
18S,6/17/2014,2,21,52,9,stco,g,0
18S,6/17/2014,2,22,56,5,stco,g,0
18S,6/17/2014,2,23,16,2,bogr,g,0
18S,6/17/2014,2,24,65,5,stco,g,0
18S,6/17/2014,2,25,44,3,stco,g,0
18S,6/17/2014,3,1,52,3,stco,g,0
18S,6/17/2014,3,2,59,5,bogr,g,0
18S,6/17/2014,3,3,29,1,eref,g,1
18S,6/17/2014,3,4,21,5,pasm,g,0
18S,6/17/2014,3,5,29,5,pasm,g,0
18S,6/17/2014,3,6,24,5,bogr,g,0
18S,6/17/2014,3,7,54,3,pasm,g,0
18S,6/17/2014,3,8,59,5,stco,g,0
18S,6/17/2014,3,9,13,4,gusa,g,1
18S,6/17/2014,3,10,31,2,pasm,g,0
18S,6/17/2014,3,11,4,2,crmi,g,0
18S,6/17/2014,3,12,10,5,crmi,g,0
18S,6/17/2014,3,13,3,1,bogr,g,0
18S,6/17/2014,3,14,11,3,crmi,g,0
18S,6/17/2014,3,15,44,3,eref,g,1
18S,6/17/2014,3,16,15,1,spco,g,0
18S,6/17/2014,3,17,29,2,bogr,g,0
18S,6/17/2014,3,18,24,9,pasm,g,0
18S,6/17/2014,3,19,8,3,pasm,g,0
18S,6/17/2014,3,20,21,5,pasm,g,0
18S,6/17/2014,3,21,8,3,cael,g,0
18S,6/17/2014,3,22,14,1,pasm,g,0
18S,6/17/2014,3,23,23,3,pasm,g,0
18S,6/17/2014,3,24,28,3,pasm,g,0
18S,6/17/2014,3,25,19,2,pasm,g,0
18S,6/17/2014,4,1,49,6,pasm,g,0
18S,6/17/2014,4,2,42,3,stco,g,0
18S,6/17/2014,4,3,31,2,pasm,g,0
18S,6/17/2014,4,4,19,4,pasm,g,0
18S,6/17/2014,4,5,56,1,stco,g,0
18S,6/17/2014,4,6,54,3,stco,g,0
18S,6/17/2014,4,7,64,11,stco,g,0
18S,6/17/2014,4,8,9,1,bogr,g,0
18S,6/17/2014,4,9,19,7,crmi,g,0
18S,6/17/2014,4,10,62,3,stco,g,0
18S,6/17/2014,4,11,44,5,pasm,g,0
18S,6/17/2014,4,12,52,8,oppo,g,1
18S,6/17/2014,4,13,43,8,pasm,g,0
18S,6/17/2014,4,14,16,3,pasm,g,0
18S,6/17/2014,4,15,43,9,oppo,g,1
18S,6/17/2014,4,16,39,5,pasm,g,0
18S,6/17/2014,4,17,5,1,bogr,g,0
18S,6/17/2014,4,18,7,2,bogr,g,0
18S,6/17/2014,4,19,8,5,oppo,g,1
18S,6/17/2014,4,20,14,5,pasm,g,0
18S,6/17/2014,4,21,13,3,pasm,g,0
18S,6/17/2014,4,22,38,7,pasm,g,0
18S,6/17/2014,4,23,5,1,bogr,g,0
18S,6/17/2014,4,24,9,6,crmi,g,0
18S,6/17/2014,4,25,22,5,pasm,g,0
18S,6/20/2014,1,1,12,3,oppo,g,1
18S,6/20/2014,1,2,32,8,sihy,g,0
18S,6/20/2014,1,3,22,4,sihy,g,0
18S,6/20/2014,1,4,6,1,bogr,g,0
18S,6/20/2014,1,5,20,5,oppo,g,1
18S,6/20/2014,1,6,3,3,bogr,g,0
18S,6/20/2014,1,7,15,3,bogr,g,0
18S,6/20/2014,1,8,20,5,bogr,g,0
18S,6/20/2014,1,9,16,2,bogr,g,0
18S,6/20/2014,1,10,7,2,bogr,g,0
18S,6/20/2014,1,11,14,3,sihy,g,0
18S,6/20/2014,1,12,16,1,bogr,g,0
18S,6/20/2014,1,13,5,1,bogr,g,0
18S,6/20/2014,1,14,21,4,oppo,g,1
18S,6/20/2014,1,15,14,1,oppo,g,1
18S,6/20/2014,1,16,24,5,bogr,g,0
18S,6/20/2014,1,17,14,5,bogr,g,0
18S,6/20/2014,1,18,19,7,sihy,g,0
18S,6/20/2014,1,19,22,5,sihy,g,0
18S,6/20/2014,1,20,38,9,sihy,g,0
18S,6/20/2014,1,21,48,3,sihy,g,0
18S,6/20/2014,1,22,90,9,stco,g,0
18S,6/20/2014,1,23,60,4,crmi,g,0
18S,6/20/2014,1,24,70,2,stco,g,0
18S,6/20/2014,1,25,27,7,vuoc,g,1
18S,6/20/2014,2,1,50,7,stco,g,0
18S,6/20/2014,2,2,68,9,stco,g,0
18S,6/20/2014,2,3,70,4,stco,g,0
18S,6/20/2014,2,4,70,5,stco,g,0
18S,6/20/2014,2,5,62,9,stco,g,0
18S,6/20/2014,2,6,76,10,stco,g,0
18S,6/20/2014,2,7,70,16,stco,g,0
18S,6/20/2014,2,8,61,13,stco,g,0
18S,6/20/2014,2,9,61,2,bogr,g,0
18S,6/20/2014,2,10,50,9,stco,g,0
18S,6/20/2014,2,11,51,3,stco,g,0
18S,6/20/2014,2,12,49,6,stco,g,0
18S,6/20/2014,2,13,80,15,stco,g,0
18S,6/20/2014,2,14,68,12,stco,g,0
18S,6/20/2014,2,15,66,5,stco,g,0
18S,6/20/2014,2,16,61,21,stco,g,0
18S,6/20/2014,2,17,62,7,stco,g,0
18S,6/20/2014,2,18,50,3,bogr,g,0
18S,6/20/2014,2,19,46,1,cael,g,0
18S,6/20/2014,2,20,41,6,stco,g,0
18S,6/20/2014,2,21,39,3,bogr,g,0
18S,6/20/2014,2,22,52,5,stco,g,0
18S,6/20/2014,2,23,34,2,bogr,g,0
18S,6/20/2014,2,24,52,6,stco,g,0
18S,6/20/2014,2,25,38,5,stco,g,0
18S,6/20/2014,3,1,52,1,oeal,g,0
18S,6/20/2014,3,2,62,3,bogr,g,0
18S,6/20/2014,3,3,20,2,bogr,g,0
18S,6/20/2014,3,4,30,3,pasm,g,0
18S,6/20/2014,3,5,30,2,pasm,g,0
18S,6/20/2014,3,6,20,5,bogr,g,0
18S,6/20/2014,3,7,8,3,crmi,g,0
18S,6/20/2014,3,8,68,2,crmi,g,0
18S,6/20/2014,3,9,66,1,stco,g,0
18S,6/20/2014,3,10,60,2,eref,g,1
18S,6/20/2014,3,11,3,2,bogr,g,0
18S,6/20/2014,3,12,9,1,bogr,g,0
18S,6/20/2014,3,13,9,2,bogr,g,0
18S,6/20/2014,3,14,3,1,bogr,g,0
18S,6/20/2014,3,15,4,1,bogr,g,0
18S,6/20/2014,3,16,3,1,bogr,g,0
18S,6/20/2014,3,17,5,2,bogr,g,0
18S,6/20/2014,3,18,5,1,bogr,g,0
18S,6/20/2014,3,19,6,1,bogr,g,0
18S,6/20/2014,3,20,3,2,bogr,g,0
18S,6/20/2014,3,21,6,2,bogr,g,0
18S,6/20/2014,3,22,5,1,bogr,g,0
18S,6/20/2014,3,23,15,4,oppo,g,1
18S,6/20/2014,3,24,11,1,bogr,g,0
18S,6/20/2014,3,25,3,1,bogr,g,0
18S,6/20/2014,4,1,10,3,pasm,g,0
18S,6/20/2014,4,2,16,1,bogr,g,0
18S,6/20/2014,4,3,11,3,cael,g,0
18S,6/20/2014,4,4,80,5,stco,g,0
18S,6/20/2014,4,5,60,9,stco,g,0
18S,6/20/2014,4,6,84,3,stco,g,0
18S,6/20/2014,4,7,81,4,stco,g,0
18S,6/20/2014,4,8,60,5,stco,g,0
18S,6/20/2014,4,9,21,3,bogr,g,0
18S,6/20/2014,4,10,48,3,bogr,g,0
18S,6/20/2014,4,11,27,5,bogr,g,0
18S,6/20/2014,4,12,26,6,oppo,g,1
18S,6/20/2014,4,13,24,3,pasm,g,0
18S,6/20/2014,4,14,16,1,pasm,g,0
18S,6/20/2014,4,15,11,1,pasm,g,0
18S,6/20/2014,4,16,44,5,pasm,g,0
18S,6/20/2014,4,17,15,3,stco,g,0
18S,6/20/2014,4,18,9,2,pasm,g,0
18S,6/20/2014,4,19,16,3,pasm,g,0
18S,6/20/2014,4,20,51,3,pasm,g,0
18S,6/20/2014,4,21,22,2,pasm,g,0
18S,6/20/2014,4,22,68,5,stco,g,0
18S,6/20/2014,4,23,39,3,stco,g,0
18S,6/20/2014,4,24,50,7,oppo,g,1
18S,6/20/2014,4,25,62,10,stco,g,0
7SE,6/20/2014,1,1,9,3,crmi,g ,0
7SE,6/20/2014,1,2,18,5,crmi,g ,0
7SE,6/20/2014,1,3,11,5,vuoc,b,1
7SE,6/20/2014,1,4,8,4,vuoc,b,1
7SE,6/20/2014,1,5,8,2,crmi,g ,0
7SE,6/20/2014,1,6,32,9,sihy,g ,0
7SE,6/20/2014,1,7,13,9,crmi,g ,0
7SE,6/20/2014,1,8,5,1,crmi,g ,0
7SE,6/20/2014,1,9,21,9,crmi,g ,0
7SE,6/20/2014,1,10,14,5,crmi,g ,0
7SE,6/20/2014,1,11,10,5,crmi,g ,0
7SE,6/20/2014,1,12,19,9,spcr,g ,0
7SE,6/20/2014,1,13,7,3,crmi,g ,0
7SE,6/20/2014,1,14,12,7,crmi,b,0
7SE,6/20/2014,1,15,39,7,stco,g ,0
7SE,6/20/2014,1,16,14,7,bogr,g ,0
7SE,6/20/2014,1,17,42,3,vuoc,g ,1
7SE,6/20/2014,1,18,14,3,vuoc,b,1
7SE,6/20/2014,1,19,14,2,bogr,g ,0
7SE,6/20/2014,1,20,20,3,bogr,b,0
7SE,6/20/2014,1,21,18,5,bogr,b,0
7SE,6/20/2014,1,22,11,3,bogr,g ,0
7SE,6/20/2014,1,23,11,5,crmi,g ,0
7SE,6/20/2014,1,24,11,3,bogr,g ,0
7SE,6/20/2014,1,25,12,5,bogr,g ,0
7SE,6/20/2014,2,1,25,2,bogr,g,0
7SE,6/20/2014,2,2,9,3,vuoc,b,1
7SE,6/20/2014,2,3,14,5,vuoc,g,1
7SE,6/20/2014,2,4,38,3,bogr,g,0
7SE,6/20/2014,2,5,8,3,bogr,g,0
7SE,6/20/2014,2,6,12,5,vuoc,b,1
7SE,6/20/2014,2,7,22,4,bogr,g,0
7SE,6/20/2014,2,8,26,6,pste,g,0
7SE,6/20/2014,2,9,11,3,oppo,g,1
7SE,6/20/2014,2,10,21,7,bogr,g,0
7SE,6/20/2014,2,11,25,3,bogr,g,0
7SE,6/20/2014,2,12,54,5,bogr,g,0
7SE,6/20/2014,2,13,11,3,bogr,g,0
7SE,6/20/2014,2,14,19,5,bogr,g,0
7SE,6/20/2014,2,15,16,7,bogr,g,0
7SE,6/20/2014,2,16,24,5,sihy,b,0
7SE,6/20/2014,2,17,14,5,bogr,g,0
7SE,6/20/2014,2,18,11,7,crmi,g,0
7SE,6/20/2014,2,19,11,5,bogr,g,0
7SE,6/20/2014,2,20,12,8,crmi,g,0
7SE,6/20/2014,2,21,50,1,bogr,g,0
7SE,6/20/2014,2,22,60,11,stco,g,0
7SE,6/20/2014,2,23,5,1,bogr,g,0
7SE,6/20/2014,2,24,11,4,crmi,g,0
7SE,6/20/2014,2,25,13,4,bogr,g,0
7SE,6/20/2014,3,1,8,5,crmi,g,0
7SE,6/20/2014,3,2,14,5,vuoc,b,1
7SE,6/20/2014,3,3,24,7,eref,g,1
7SE,6/20/2014,3,4,34,8,spcr,g,0
7SE,6/20/2014,3,5,22,7,oppo,g,1
7SE,6/20/2014,3,6,72,9,stco,g,0
7SE,6/20/2014,3,7,32,8,stco,g,0
7SE,6/20/2014,3,8,19,3,crmi,g,0
7SE,6/20/2014,3,9,26,8,bogr,g,0
7SE,6/20/2014,3,10,42,3,pasm,g,0
7SE,6/20/2014,3,11,51,11,pasm,g,0
7SE,6/20/2014,3,12,58,7,pasm,g,0
7SE,6/20/2014,3,13,20,5,vuoc,g,1
7SE,6/20/2014,3,14,41,7,vuoc,g,1
7SE,6/20/2014,3,15,25,9,pasm,g,0
7SE,6/20/2014,3,16,9,5,bogr,g,0
7SE,6/20/2014,3,17,36,5,vuoc,g,1
7SE,6/20/2014,3,18,18,4,bogr,g,0
7SE,6/20/2014,3,19,11,3,bogr,g,0
7SE,6/20/2014,3,20,8,3,bogr,g,0
7SE,6/20/2014,3,21,6,2,bogr,g,0
7SE,6/20/2014,3,22,5,3,bogr,g,0
7SE,6/20/2014,3,23,11,5,bogr,g,0
7SE,6/20/2014,3,24,11,3,bogr,g,0
7SE,6/20/2014,3,25,6,1,vuoc,g,1
7SE,6/20/2014,4,1,14,9,vuoc,b,1
7SE,6/20/2014,4,2,11,3,vuoc,b,1
7SE,6/20/2014,4,3,28,16,sihy,g,0
7SE,6/20/2014,4,4,15,7,vuoc,b,1
7SE,6/20/2014,4,5,13,5,vuoc,b,1
7SE,6/20/2014,4,6,10,7,vuoc,b,1
7SE,6/20/2014,4,7,11,5,vuoc,b,1
7SE,6/20/2014,4,8,19,8,crmi,g,0
7SE,6/20/2014,4,9,16,3,vuoc,g,1
7SE,6/20/2014,4,10,11,4,vuoc,b,1
7SE,6/20/2014,4,11,15,13,sihy,g,0
7SE,6/20/2014,4,12,19,5,bogr,g,0
7SE,6/20/2014,4,13,14,5,crmi,b,0
7SE,6/20/2014,4,14,18,15,crmi,g,0
7SE,6/20/2014,4,15,32,5,bogr,b,0
7SE,6/20/2014,4,16,30,8,vuoc,g,1
7SE,6/20/2014,4,17,11,4,bogr,g,0
7SE,6/20/2014,4,18,19,5,lemo,g,0
7SE,6/20/2014,4,19,42,3,pasm,g,0
7SE,6/20/2014,4,20,44,9,pasm,g,0
7SE,6/20/2014,4,21,58,4,pasm,g,0
7SE,6/20/2014,4,22,20,4,bogr,g,0
7SE,6/20/2014,4,23,31,3,bogr,g,0
7SE,6/20/2014,4,24,47,11,pasm,g,0
7SE,6/20/2014,4,25,54,9,pasm,g,0
7SE,6/25/2014,1,1,9,1,crmi,g,0
7SE,6/25/2014,1,2,11,2,vuoc,g,1
7SE,6/25/2014,1,3,11,3,vuoc,g,1
7SE,6/25/2014,1,4,11,4,vuoc,g,1
7SE,6/25/2014,1,5,15,7,crmi,g,0
7SE,6/25/2014,1,6,11,3,vuoc,g,1
7SE,6/25/2014,1,7,16,3,crmi,g,0
7SE,6/25/2014,1,8,9,3,crmi,g,0
7SE,6/25/2014,1,9,13,3,bogr,g,0
7SE,6/25/2014,1,10,12,5,oppo,g,1
7SE,6/25/2014,1,11,10,3,crmi,g,0
7SE,6/25/2014,1,12,11,3,bogr,g,0
7SE,6/25/2014,1,13,24,8,pasm,g,0
7SE,6/25/2014,1,14,10,3,pasm,g,0
7SE,6/25/2014,1,15,6,3,bogr,g,0
7SE,6/25/2014,1,16,6,3,bogr,g,0
7SE,6/25/2014,1,17,12,3,bogr,g,0
7SE,6/25/2014,1,18,25,4,cael,g,0
7SE,6/25/2014,1,19,19,5,oppo,g,1
7SE,6/25/2014,1,20,12,2,bogr,g,0
7SE,6/25/2014,1,21,13,10,crmi,g,0
7SE,6/25/2014,1,22,14,7,bogr,g,0
7SE,6/25/2014,1,23,10,5,bogr,g,0
7SE,6/25/2014,1,24,9,3,bogr,g,0
7SE,6/25/2014,1,25,14,7,oppo,g,1
7SE,6/25/2014,2,1,8,3,bogr,g,0
7SE,6/25/2014,2,2,48,7,bogr,g,0
7SE,6/25/2014,2,3,66,5,oppo,g,1
7SE,6/25/2014,2,4,66,9,stco,g,0
7SE,6/25/2014,2,5,16,2,spcr,g,0
7SE,6/25/2014,2,6,21,9,sihy,b,0
7SE,6/25/2014,2,7,13,2,bogr,b,0
7SE,6/25/2014,2,8,12,5,atca,g,0
7SE,6/25/2014,2,9,40,3,crmi,g,0
7SE,6/25/2014,2,10,4,2,bogr,g,0
7SE,6/25/2014,2,11,34,1,bogr,g,0
7SE,6/25/2014,2,12,11,4,bogr,g,0
7SE,6/25/2014,2,13,10,3,bogr,g,0
7SE,6/25/2014,2,14,79,12,sihy,g,0
7SE,6/25/2014,2,15,30,7,stco,g,0
7SE,6/25/2014,2,16,49,7,stco,g,0
7SE,6/25/2014,2,17,16,3,bogr,g,0
7SE,6/25/2014,2,18,19,5,bogr,g,0
7SE,6/25/2014,2,19,16,5,bogr,g,0
7SE,6/25/2014,2,20,49,2,bogr,g,0
7SE,6/25/2014,2,21,9,3,bogr,g,0
7SE,6/25/2014,2,22,10,3,bogr,g,0
7SE,6/25/2014,2,23,64,8,oppo,g,1
7SE,6/25/2014,2,24,14,9,crmi,g,0
7SE,6/25/2014,2,25,8,2,bogr,g,0
7SE,6/25/2014,3,1,11,8,crmi,g,0
7SE,6/25/2014,3,2,13,5,vuoc,b,1
7SE,6/25/2014,3,3,23,5,vuoc,b,1
7SE,6/25/2014,3,4,42,5,stco,g,0
7SE,6/25/2014,3,5,25,3,bogr,g,0
7SE,6/25/2014,3,6,22,2,pasm,g,0
7SE,6/25/2014,3,7,41,5,vuoc,g,1
7SE,6/25/2014,3,8,46,3,bogr,g,0
7SE,6/25/2014,3,9,31,3,vuoc,g,1
7SE,6/25/2014,3,10,34,5,pasm,g,0
7SE,6/25/2014,3,11,39,4,pasm,g,0
7SE,6/25/2014,3,12,61,5,pasm,g,0
7SE,6/25/2014,3,13,43,5,buda,g,0
7SE,6/25/2014,3,14,60,3,pasm,g,0
7SE,6/25/2014,3,15,32,2,bogr,g,0
7SE,6/25/2014,3,16,19,2,stco,g,0
7SE,6/25/2014,3,17,12,2,bogr,g,0
7SE,6/25/2014,3,18,8,1,bogr,g,0
7SE,6/25/2014,3,19,10,3,bogr,g,0
7SE,6/25/2014,3,20,9,1,bogr,g,0
7SE,6/25/2014,3,21,5,3,bogr,g,0
7SE,6/25/2014,3,22,14,3,bogr,g,0
7SE,6/25/2014,3,23,10,3,bogr,g,0
7SE,6/25/2014,3,24,5,1,bogr,g,0
7SE,6/25/2014,3,25,29,3,bogr,g,0
7SE,6/25/2014,4,1,13,5,vuoc,b,1
7SE,6/25/2014,4,2,13,3,vuoc,b,1
7SE,6/25/2014,4,3,25,5,vuoc,b,1
7SE,6/25/2014,4,4,11,4,crmi,g,0
7SE,6/25/2014,4,5,10,3,bogr,b,0
7SE,6/25/2014,4,6,14,5,arlo,g,1
7SE,6/25/2014,4,7,8,3,bogr,g,0
7SE,6/25/2014,4,8,11,2,bogr,b,0
7SE,6/25/2014,4,9,13,5,vuoc,b,1
7SE,6/25/2014,4,10,14,4,crmi,g,0
7SE,6/25/2014,4,11,11,5,crmi,g,0
7SE,6/25/2014,4,12,19,6,crmi,g,0
7SE,6/25/2014,4,13,9,2,bogr,g,0
7SE,6/25/2014,4,14,11,3,bogr,g,0
7SE,6/25/2014,4,15,14,7,bogr,g,0
7SE,6/25/2014,4,16,8,3,bogr,g,0
7SE,6/25/2014,4,17,14,3,bogr,g,0
7SE,6/25/2014,4,18,5,3,bogr,g,0
7SE,6/25/2014,4,19,6,2,bogr,g,0
7SE,6/25/2014,4,20,16,4,bogr,g,0
7SE,6/25/2014,4,21,16,5,pasm,g,0
7SE,6/25/2014,4,22,54,8,pasm,g,0
7SE,6/25/2014,4,23,52,9,crmi,g,0
7SE,6/25/2014,4,24,8,3,vuoc,g,1
7SE,6/25/2014,4,25,35,7,bogr,g,0
7SE,7/1/2014,1,1,3,1,bogr,g,0
7SE,7/1/2014,1,2,6,4,crmi,g,0
7SE,7/1/2014,1,3,20,5,crmi,g,0
7SE,7/1/2014,1,4,14,8,crmi,g,0
7SE,7/1/2014,1,5,14,3,bogr,g,0
7SE,7/1/2014,1,6,7,3,bogr,g,0
7SE,7/1/2014,1,7,12,5,crmi,g,0
7SE,7/1/2014,1,8,6,4,crmi,g,0
7SE,7/1/2014,1,9,13,4,bogr,g,0
7SE,7/1/2014,1,10,10,7,crmi,g,0
7SE,7/1/2014,1,11,20,3,bogr,g,0
7SE,7/1/2014,1,12,15,1,bogr,g,0
7SE,7/1/2014,1,13,12,2,bogr,g,0
7SE,7/1/2014,1,14,9,4,crmi,g,0
7SE,7/1/2014,1,15,14,3,crmi,g,0
7SE,7/1/2014,1,16,13,4,bogr,g,0
7SE,7/1/2014,1,17,16,8,bogr,g,0
7SE,7/1/2014,1,18,14,4,bogr,g,0
7SE,7/1/2014,1,19,14,3,bogr,g,0
7SE,7/1/2014,1,20,9,6,crmi,g,0
7SE,7/1/2014,1,21,14,3,bogr,g,0
7SE,7/1/2014,1,22,13,3,bogr,g,0
7SE,7/1/2014,1,23,8,1,bogr,g,0
7SE,7/1/2014,1,24,12,5,bogr,g,0
7SE,7/1/2014,1,25,17,6,oppo,g,1
7SE,7/1/2014,2,1,12,3,bogr,g,0
7SE,7/1/2014,2,2,19,5,bogr,g,0
7SE,7/1/2014,2,3,72,3,bogr,b,0
7SE,7/1/2014,2,4,21,5,vuoc,b,1
7SE,7/1/2014,2,5,19,1,bogr,g,0
7SE,7/1/2014,2,6,9,3,bogr,b,0
7SE,7/1/2014,2,7,15,3,vuoc,b,1
7SE,7/1/2014,2,8,17,3,vuoc,b,1
7SE,7/1/2014,2,9,21,3,bogr,g,0
7SE,7/1/2014,2,10,50,4,bogr,b,0
7SE,7/1/2014,2,11,90,3,bogr,g,0
7SE,7/1/2014,2,12,6,2,bogr,g,0
7SE,7/1/2014,2,13,69,2,bogr,g,0
7SE,7/1/2014,2,14,51,5,sihy,g,0
7SE,7/1/2014,2,15,38,8,oppo,g,1
7SE,7/1/2014,2,16,10,3,vuoc,b,1
7SE,7/1/2014,2,17,11,3,bogr,g,0
7SE,7/1/2014,2,18,4,1,bogr,g,0
7SE,7/1/2014,2,19,5,3,bogr,g,0
7SE,7/1/2014,2,20,23,5,oppo,g,1
7SE,7/1/2014,2,21,49,4,vuoc,g,1
7SE,7/1/2014,2,22,51,1,bogr,g,0
7SE,7/1/2014,2,23,88,3,stco,g,0
7SE,7/1/2014,2,24,7,6,crmi,g,0
7SE,7/1/2014,2,25,23,6,crmi,b,0
7SE,7/1/2014,3,1,10,1,bogr,g,0
7SE,7/1/2014,3,2,10,5,bogr,b,0
7SE,7/1/2014,3,3,8,1,spcr,g,0
7SE,7/1/2014,3,4,11,3,bogr,g,0
7SE,7/1/2014,3,5,5,2,bogr,g,0
7SE,7/1/2014,3,6,12,2,bogr,g,0
7SE,7/1/2014,3,7,32,2,bogr,g,0
7SE,7/1/2014,3,8,54,3,bogr,g,0
