Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
18S,5/27/2015,1,16,13,3,stco,g,0,3
18S,5/27/2015,1,17,23,5,stco,b,0,5
18S,5/27/2015,1,18,24,2,atca,g,0,2
18S,5/27/2015,1,19,26,2,stco,b,0,2
18S,5/27/2015,1,20,52,15,atca,g,0,15
18S,5/27/2015,1,21,24,9,stco,b,0,9
18S,5/27/2015,1,22,24,3,stco,b,0,3
18S,5/27/2015,1,23,17,5,bogr,g,0,5
18S,5/27/2015,1,24,20,3,stco,b,0,3
18S,5/27/2015,1,25,43,9,stco,b,0,9
18S,5/27/2015,2,1,16,8,stco,g,0,8
18S,5/27/2015,2,2,32,5,stco,b,0,5
18S,5/27/2015,2,3,25,5,stco,b,0,5
18S,5/27/2015,2,4,32,10,stco,b,0,10
18S,5/27/2015,2,5,24,7,vuoc,b,1,
18S,5/27/2015,2,6,46,11,stco,b,0,11
18S,5/27/2015,2,7,32,6,stco,b,0,6
18S,5/27/2015,2,8,30,5,stco,b,0,5
18S,5/27/2015,2,9,42,12,stco,b,0,12
18S,5/27/2015,2,10,24,5,stco,b,0,5
18S,5/27/2015,2,11,30,7,stco,b,0,7
18S,5/27/2015,2,12,3,1,stco,g,0,1
18S,5/27/2015,2,13,26,7,stco,b,0,7
18S,5/27/2015,2,14,12,2,stco,g,0,2
18S,5/27/2015,2,15,20,2,bogr,b,0,2
18S,5/27/2015,2,16,31,3,stco,b,0,3
18S,5/27/2015,2,17,20,3,bogr,b,0,3
18S,5/27/2015,2,18,30,9,stco,b,0,9
18S,5/27/2015,2,19,20,4,stco,b,0,4
18S,5/27/2015,2,20,16,6,stco,b,0,6
18S,5/27/2015,2,21,26,2,cael,b,0,2
18S,5/27/2015,2,22,10,1,cael,g,0,1
18S,5/27/2015,2,23,10,2,stco,b,0,2
18S,5/27/2015,2,24,15,3,eref,b,1,
18S,5/27/2015,2,25,22,4,stco,b,0,4
18S,5/27/2015,3,1,41,7,pasm,b,0,7
18S,5/27/2015,3,2,32,5,eref,b,1,
18S,5/27/2015,3,3,31,5,eref,b,1,
18S,5/27/2015,3,4,54,9,atca,g,0,9
18S,5/27/2015,3,5,19,4,bogr,b,0,4
18S,5/27/2015,3,6,16,1,pasm,b,0,1
18S,5/27/2015,3,7,31,6,stco,b,0,6
18S,5/27/2015,3,8,9,1,bogr,b,0,1
18S,5/27/2015,3,9,21,2,pasm,b,0,2
18S,5/27/2015,3,10,35,10,stco,b,0,10
18S,5/27/2015,3,11,25,3,bogr,b,0,3
18S,5/27/2015,3,12,29,1,cael,b,0,1
18S,5/27/2015,3,13,20,7,pasm,b,0,7
18S,5/27/2015,3,14,44,5,pasm,b,0,5
18S,5/27/2015,3,15,9,1,cael,g,0,1
18S,5/27/2015,3,16,17,4,oppo,b,1,
18S,5/27/2015,3,17,19,3,pasm,b,0,3
18S,5/27/2015,3,18,6,1,bogr,g,0,1
18S,5/27/2015,3,19,20,2,stco,b,0,2
18S,5/27/2015,3,20,5,1,pasm,g,0,1
18S,5/27/2015,3,21,9,4,pasm,g,0,4
18S,5/27/2015,3,22,31,4,pasm,b,0,4
18S,5/27/2015,3,23,10,1,pasm,g,0,1
18S,5/27/2015,3,24,5,2,bogr,g,0,2
18S,5/27/2015,3,25,49,5,stco,b,0,5
18S,5/27/2015,4,1,18,3,eref,b,1,
18S,5/27/2015,4,2,36,5,pasm,b,0,5
18S,5/27/2015,4,3,40,5,pasm,b,0,5
18S,5/27/2015,4,4,30,4,oppo,b,1,
18S,5/27/2015,4,5,24,1,pasm,b,0,1
18S,5/27/2015,4,6,24,4,oppo,b,1,
18S,5/27/2015,4,7,12,2,bogr,b,0,2
18S,5/27/2015,4,8,42,3,pasm,b,0,3
18S,5/27/2015,4,9,22,4,bogr,b,0,4
18S,5/27/2015,4,10,28,2,bogr,b,0,2
18S,5/27/2015,4,11,20,2,pasm,b,0,2
18S,5/27/2015,4,12,18,1,bogr,b,0,1
18S,5/27/2015,4,13,22,5,bogr,b,0,5
18S,5/27/2015,4,14,24,3,oppo,b,1,
18S,5/27/2015,4,15,74,10,pasm,b,0,10
18S,5/27/2015,4,16,31,9,atca,g,0,9
18S,5/27/2015,4,17,24,2,oppo,b,1,
18S,5/27/2015,4,18,24,3,oppo,b,1,
18S,5/27/2015,4,19,31,3,pasm,b,0,3
18S,5/27/2015,4,20,36,3,pasm,b,0,3
18S,5/27/2015,4,21,14,2,oppo,b,1,
18S,5/27/2015,4,22,10,1,bogr,b,0,1
18S,5/27/2015,4,23,18,3,stco,b,0,3
18S,5/27/2015,4,24,71,19,atca,g,0,19
18S,5/27/2015,4,25,25,5,stco,b,0,5
17S,6/8/2015,5,1,33,4,bogr,b,0,4
17S,6/8/2015,5,2,7,2,bogr,g,0,2
17S,6/8/2015,5,3,20,4,cael,b,0,4
17S,6/8/2015,5,4,16,4,vuoc,b,1,
17S,6/8/2015,5,5,10,3,bogr,g,0,3
17S,6/8/2015,5,6,11,4,bogr,g,0,4
17S,6/8/2015,5,7,30,6,pasm,b,0,6
17S,6/8/2015,5,8,28,3,pasm,b,0,3
17S,6/8/2015,5,9,10,4,bogr,b,0,4
17S,6/8/2015,5,10,22,8,arlo,b,1,
17S,6/8/2015,5,11,6,2,cael,g,0,2
17S,6/8/2015,5,12,28,10,arlo,b,1,
17S,6/8/2015,5,13,23,9,cael,b,0,9
17S,6/8/2015,5,14,34,13,arlo,b,1,
17S,6/8/2015,5,15,12,4,bogr,g,0,4
