Pasture,General Ecosite,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,MeanLow,MeanHigh,,
20SE,Salt Flats,4,4,15,28,10,SPAI,34,7,SPAI,8.5,31,,
20SE,Salt Flats,4,4,18,34,9,PASM,30,7,SPAI,8,32,,
20SE,Salt Flats,4,4,21,54,8,STCO,43,17,STCO,12.5,48.5,,
20SE,Salt Flats,4,4,24,53,14,STCO,44,7,STCO,10.5,48.5,,
20SE,Salt Flats,5,1,3,14,5,SPAI,22,14,SPAI,9.5,18,,
20SE,Salt Flats,5,1,6,16,3,VUOC,18,12,VUOC,7.5,17,,
20SE,Salt Flats,5,1,9,26,2,VUOC,14,2,VUOC,2,20,,
20SE,Salt Flats,5,1,12,31,5,VUOC,34,11,VUOC,8,32.5,,
20SE,Salt Flats,5,1,15,20,3,VUOC,12,4,VUOC,3.5,16,,
20SE,Salt Flats,5,1,18,12,5,VUOC,11,5,VUOC,5,11.5,,
20SE,Salt Flats,5,1,21,26,11,SPAI,26,11,VUOC,11,26,,
20SE,Salt Flats,5,1,24,24,10,SPAI,22,9,SPAI,9.5,23,,
20SE,Salt Flats,5,2,3,28,10,SPAI,24,11,SPAI,10.5,26,,
20SE,Salt Flats,5,2,6,25,13,SPAI,39,9,STCO,11,32,,
20SE,Salt Flats,5,2,9,41,7,SPAI,35,9,SPAI,8,38,,
20SE,Salt Flats,5,2,12,46,6,VUOC,43,5,STCO,5.5,44.5,,
20SE,Salt Flats,5,2,15,40,4,STCO,27,8,CAEL,6,33.5,,
20SE,Salt Flats,5,2,18,51,17,STCO,18,7,SPAI,12,34.5,,
20SE,Salt Flats,5,2,21,21,8,SPAI,20,5,SPAI,6.5,20.5,,
20SE,Salt Flats,5,2,24,31,10,PASM,16,5,CAEL,7.5,23.5,,
20SE,Salt Flats,5,3,3,14,2,SPAI,25,7,SPAI,4.5,19.5,,
20SE,Salt Flats,5,3,6,17,3,SPAI,12,1,DCR,2,14.5,,
20SE,Salt Flats,5,3,9,12,4,SPAI,15,7,SPAI,5.5,13.5,,
20SE,Salt Flats,5,3,12,18,9,VUOC,30,12,SPAI,10.5,24,,
20SE,Salt Flats,5,3,15,26,12,VUOC,22,8,VUOC,10,24,,
20SE,Salt Flats,5,3,18,20,10,SPAI,21,8,SPAI,9,20.5,,
20SE,Salt Flats,5,3,21,22,10,SPAI,19,9,SPAI,9.5,20.5,,
20SE,Salt Flats,5,3,24,22,8,SPAI,17,6,VUOC,7,19.5,,
20SE,Salt Flats,5,4,3,29,4,SPAI,21,13,VUOC,8.5,25,,
20SE,Salt Flats,5,4,6,18,7,VUOC,21,10,VUOC,8.5,19.5,,
20SE,Salt Flats,5,4,9,19,7,VUOC,20,10,SPAI,8.5,19.5,,
20SE,Salt Flats,5,4,12,30,10,SPAI,31,11,VUOC,10.5,30.5,,
20SE,Salt Flats,5,4,15,24,6,VUOC,26,13,SPAI,9.5,25,,
20SE,Salt Flats,5,4,18,23,6,PASM,27,10,SPAI,8,25,,
20SE,Salt Flats,5,4,21,35,8,PASM,24,12,SPCR,10,29.5,,
20SE,Salt Flats,5,4,24,24,8,SPAI,17,6,SPAI,7,20.5,,
20SE,Plains,6,1,3,27,3,VUOC,21,8,OPPO,5.5,24,,
20SE,Plains,6,1,6,23,2,SONU,23,13,OPPO,7.5,23,,
20SE,Plains,6,1,9,19,3,CAEL,27,7,PASM,5,23,,
20SE,Plains,6,1,12,10,3,BOGR,18,7,VUOC,5,14,,
20SE,Plains,6,1,15,20,2,PASM,13,6,VUOC,4,16.5,,
20SE,Plains,6,1,18,28,8,PASM,37,13,BOGR,10.5,32.5,,
20SE,Plains,6,1,21,26,7,VUOC,11,9,VUOC,8,18.5,,
20SE,Plains,6,1,24,64,6,BOGR,24,3,EREF,4.5,44,,
20SE,Plains,6,2,3,12,7,VUOC,19,6,VUOC,6.5,15.5,,
20SE,Plains,6,2,6,18,3,BOGR,11,5,VUOC,4,14.5,,
20SE,Plains,6,2,9,23,9,BOGR,33,6,VUOC,7.5,28,,
20SE,Plains,6,2,12,24,3,VUOC,12,7,VUOC,5,18,,
20SE,Plains,6,2,15,54,4,STCO,48,10,STCO,7,51,,
20SE,Plains,6,2,18,53,16,STCO,71,16,STCO,16,62,,
20SE,Plains,6,2,21,28,5,VUOC,31,21,STCO,13,29.5,,
20SE,Plains,6,2,24,32,9,VUOC,38,5,VUOC,7,35,,
20SE,Plains,6,3,3,14,4,SPCR,13,3,VUOC,3.5,13.5,,
20SE,Plains,6,3,6,12,3,VUOC,15,5,VUOC,4,13.5,,
20SE,Plains,6,3,9,18,6,VUOC,20,8,VUOC,7,19,,
20SE,Plains,6,3,12,38,8,SPCO,38,13,SIHY,10.5,38,,
20SE,Plains,6,3,15,14,5,BOGR,26,6,VUOC,5.5,20,,
20SE,Plains,6,3,18,37,5,VUOC,32,4,PASM,4.5,34.5,,
20SE,Plains,6,3,21,26,6,PASM,39,16,VUOC,11,32.5,,
20SE,Plains,6,3,24,28,7,PASM,11,1,BOGR,4,19.5,,
20SE,Plains,6,4,3,29,6,VUOC,34,12,SPCR,9,31.5,,
20SE,Plains,6,4,6,22,7,VUOC,14,4,VUOC,5.5,18,,
20SE,Plains,6,4,9,27,4,BOGR,23,6,VUOC,5,25,,
20SE,Plains,6,4,12,23,7,CRMI,15,7,VUOC,7,19,,
20SE,Plains,6,4,15,11,6,VUOC,11,6,VUOC,6,11,,
20SE,Plains,6,4,18,26,2,VUOC,29,10,VUOC,6,27.5,,
20SE,Plains,6,4,21,16,5,VUOC,9,4,VUOC,4.5,12.5,,
20SE,Plains,6,4,24,19,4,VUOC,21,7,VUOC,5.5,20,,
20NW,Plains,1,1,3,24,4,PASM,10,6,PLPA,5,17,,
20NW,Plains,1,1,6,22,6,STCO,14,2,PASM,4,18,,
20NW,Plains,1,1,9,44,14,STCO,20,6,PLPA,10,32,,
20NW,Plains,1,1,12,24,4,CAEL,30,2,STCO,3,27,,
20NW,Plains,1,1,15,20,6,BOGR,50,9,STCO,7.5,35,,
20NW,Plains,1,1,18,8,4,STCO,44,12,STCO,8,26,,
20NW,Plains,1,1,21,20,6,BOGR,38,12,STCO,9,29,,
20NW,Plains,1,1,24,10,2,STCO,20,3,STCO,2.5,15,,
20NW,Plains,1,2,3,22,6,STCO,28,4,STCO,5,25,,
20NW,Plains,1,2,6,31,7,STCO,28,4,STCO,5.5,29.5,,
20NW,Plains,1,2,9,15,2,STCO,19,3,STCO,2.5,17,,
20NW,Plains,1,2,12,31,4,STCO,33,5,STCO,4.5,32,,
20NW,Plains,1,2,15,31,7,STCO,19,2,STCO,4.5,25,,
20NW,Plains,1,2,18,31,7,STCO,24,6,STCO,6.5,27.5,,
20NW,Plains,1,2,21,16,6,CAEL,36,5,STCO,5.5,26,,
20NW,Plains,1,2,24,13,4,VUOC,10,6,VUOC,5,11.5,,
20NW,Plains,1,3,3,33,4,PASM,16,2,PASM,3,24.5,,
20NW,Plains,1,3,6,15,2,STCO,30,8,STCO,5,22.5,,
20NW,Plains,1,3,9,30,8,STCO,24,5,STCO,6.5,27,,
20NW,Plains,1,3,12,27,9,STCO,32,6,STCO,7.5,29.5,,
20NW,Plains,1,3,15,38,7,STCO,25,4,ASOX,5.5,31.5,,
20NW,Plains,1,3,18,10,3,VUOC,19,2,VUOC,2.5,14.5,,
20NW,Plains,1,3,21,16,4,PASM,24,2,STCO,3,20,,
20NW,Plains,1,3,24,14,6,VUOC,25,2,STCO,4,19.5,,
20NW,Plains,1,4,3,10,4,CAEL,30,10,CAEL,7,20,,
20NW,Plains,1,4,6,32,12,STCO,40,11,STCO,11.5,36,,
20NW,Plains,1,4,9,20,4,STCO,42,6,STCO,5,31,,
20NW,Plains,1,4,12,14,3,CAEL,12,4,SPCR,3.5,13,,
20NW,Plains,1,4,15,6,2,CAEL,10,5,STCO,3.5,8,,
20NW,Plains,1,4,18,6,0,CAEL,32,7,STCO,3.5,19,,
20NW,Plains,1,4,21,10,3,BOGR,10,2,BOGR,2.5,10,,
20NW,Plains,1,4,24,24,5,STCO,18,6,CAEL,5.5,21,,
20NW,Plains,2,1,3,12,4,VUOC,40,6,VUOC,5,26,,
20NW,Plains,2,1,6,6,1,CRMI,12,4,VUOC,2.5,9,,
20NW,Plains,2,1,9,5,3,CRMI,14,2,SPCR,2.5,9.5,,
20NW,Plains,2,1,12,7,1,CRMI,26,2,PLPA,1.5,16.5,,
20NW,Plains,2,1,15,6,2,CRMI,12,4,CRMI,3,9,,
20NW,Plains,2,1,18,7,2,CRMI,10,4,CRMI,3,8.5,,
20NW,Plains,2,1,21,20,2,VUOC,14,2,CRMI,2,17,,
20NW,Plains,2,1,24,24,3,VUOC,14,1,PLPA,2,19,,
20NW,Plains,2,2,3,39,6,STCO,31,3,STCO,4.5,35,,
20NW,Plains,2,2,6,41,9,STCO,31,8,STCO,8.5,36,,
20NW,Plains,2,2,9,21,2,BOGR,32,3,STCO,2.5,26.5,,
20NW,Plains,2,2,12,23,3,STCO,25,5,STCO,4,24,,
20NW,Plains,2,2,15,47,4,STCO,44,3,STCO,3.5,45.5,,
20NW,Plains,2,2,18,32,4,STCO,33,3,STCO,3.5,32.5,,
20NW,Plains,2,2,21,43,4,STCO,33,4,STCO,4,38,,
20NW,Plains,2,2,24,46,3,STCO,38,6,STCO,4.5,42,,
20NW,Plains,2,3,3,35,6,PASM,12,1,CAEL,3.5,23.5,,
20NW,Plains,2,3,6,42,1,STCO,26,10,SPCR,5.5,34,,
20NW,Plains,2,3,9,29,5,STCO,41,3,PASM,4,35,,
20NW,Plains,2,3,12,21,3,LITT,27,7,STCO,5,24,,
20NW,Plains,2,3,15,42,5,STCO,39,6,PASM,5.5,40.5,,
20NW,Plains,2,3,18,35,3,PASM,43,5,VUOC,4,39,,
20NW,Plains,2,3,21,20,3,VUOC,17,9,STCO,6,18.5,,
20NW,Plains,2,3,24,24,3,STCO,42,4,STCO,3.5,33,,
20NW,Plains,2,4,3,36,5,STCO,52,8,STCO,6.5,44,,
20NW,Plains,2,4,6,54,11,STCO,42,5,STCO,8,48,,
20NW,Plains,2,4,9,52,8,STCO,33,8,STCO,8,42.5,,
20NW,Plains,2,4,12,36,4,STCO,23,4,STCO,4,29.5,,
20NW,Plains,2,4,15,22,8,STCO,38,6,STCO,7,30,,
20NW,Plains,2,4,18,36,5,PSTE,32,3,STCO,4,34,,
20NW,Plains,2,4,21,30,7,STCO,33,6,PSTE,6.5,31.5,,
20NW,Plains,2,4,24,35,3,STCO,62,9,STCO,6,48.5,,
20NW,Plains,3,1,3,8,2,VUOC,16,6,VUOC,4,12,,
20NW,Plains,3,1,6,20,8,VUOC,20,10,VUOC,9,20,,
20NW,Plains,3,1,9,20,12,EREF,24,6,VUOC,9,22,,
20NW,Plains,3,1,12,28,4,VUOC,10,5,VUOC,4.5,19,,
20NW,Plains,3,1,15,20,4,VUOC,20,4,VUOC,4,20,,
20NW,Plains,3,1,18,30,3,PASM,30,6,VUOC,4.5,30,,
20NW,Plains,3,1,21,22,6,VUOC,30,5,VUOC,5.5,26,,
20NW,Plains,3,1,24,20,8,VUOC,12,8,VUOC,8,16,,
20NW,Plains,3,2,3,11,2,PASM,13,1,PASM,1.5,12,,
20NW,Plains,3,2,6,14,2,PASM,21,4,PASM,3,17.5,,
20NW,Plains,3,2,9,33,5,STCO,22,1,STCO,3,27.5,,
20NW,Plains,3,2,12,36,3,PASM,48,7,STCO,5,42,,
20NW,Plains,3,2,15,34,7,STCO,27,4,STCO,5.5,30.5,,
20NW,Plains,3,2,18,42,7,STCO,44,7,STCO,7,43,,
20NW,Plains,3,2,21,18,7,STCO,34,8,STCO,7.5,26,,
20NW,Plains,3,2,24,28,6,STCO,27,4,STCO,5,27.5,,
20NW,Plains,3,3,3,32,5,PSTE,31,3,STCO,4,31.5,,
20NW,Plains,3,3,6,13,3,VUOC,30,2,VUOC,2.5,21.5,,
20NW,Plains,3,3,9,36,2,STCO,37,5,STCO,3.5,36.5,,
20NW,Plains,3,3,12,21,2,VUOC,29,4,STCO,3,25,,
20NW,Plains,3,3,15,27,7,STCO,33,5,VUOC,6,30,,
20NW,Plains,3,3,18,25,0,STCO,22,6,VUOC,3,23.5,,
20NW,Plains,3,3,21,28,4,BOGR,31,7,VUOC,5.5,29.5,,
20NW,Plains,3,3,24,13,7,VUOC,23,6,VUOC,6.5,18,,
20NW,Plains,3,4,3,20,9,STCO,20,10,STCO,9.5,20,,
20NW,Plains,3,4,6,30,2,STCO,14,6,VUOC,4,22,,
20NW,Plains,3,4,9,18,6,STCO,22,5,STCO,5.5,20,,
20NW,Plains,3,4,12,16,4,STCO,24,8,STCO,6,20,,
20NW,Plains,3,4,15,20,10,VUOC,10,4,VUOC,7,15,,
20NW,Plains,3,4,18,24,8,STCO,20,6,STCO,7,22,,
20NW,Plains,3,4,21,40,6,STCO,48,6,STCO,6,44,,
20NW,Plains,3,4,24,30,6,STCO,30,6,STCO,6,30,,
20NW,Plains,4,1,3,30,7,STCO,33,31,STCO,19,31.5,,
20NW,Plains,4,1,6,36,6,STCO,39,4,STCO,5,37.5,,
20NW,Plains,4,1,9,22,5,STCO,29,2,VUOC,3.5,25.5,,
20NW,Plains,4,1,12,9,3,VUOC,16,5,VUOC,4,12.5,,
20NW,Plains,4,1,15,12,4,VUOC,13,3,VUOC,3.5,12.5,,
20NW,Plains,4,1,18,48,11,STCO,25,4,VUOC,7.5,36.5,,
20NW,Plains,4,1,21,34,10,STCO,18,6,VUOC,8,26,,
20NW,Plains,4,1,24,46,8,VUOC,41,10,STCO,9,43.5,,
20NW,Plains,4,2,3,36,3,STCO,31,3,STCO,3,33.5,,
20NW,Plains,4,2,6,17,2,VUOC,25,2,VUOC,2,21,,
20NW,Plains,4,2,9,24,2,VUOC,40,3,VUOC,2.5,32,,
20NW,Plains,4,2,12,21,1,VUOC,43,3,VUOC,2,32,,
20NW,Plains,4,2,15,10,2,OPPO,12,3,OPPO,2.5,11,,
20NW,Plains,4,2,18,25,9,VUOC,32,2,VUOC,5.5,28.5,,
20NW,Plains,4,2,21,19,4,VUOC,30,7,VUOC,5.5,24.5,,
20NW,Plains,4,2,24,34,4,VUOC,21,3,VUOC,3.5,27.5,,
20NW,Plains,4,3,3,40,2,STCO,34,5,VUOC,3.5,37,,
20NW,Plains,4,3,6,32,7,STCO,30,7,VUOC,7,31,,
20NW,Plains,4,3,9,37,8,VUOC,36,7,VUOC,7.5,36.5,,
20NW,Plains,4,3,12,16,4,VUOC,20,5,VUOC,4.5,18,,
20NW,Plains,4,3,15,20,4,VUOC,34,8,VUOC,6,27,,
20NW,Plains,4,3,18,29,6,STCO,33,3,STCO,4.5,31,,
20NW,Plains,4,3,21,25,3,STCO,48,9,SIHY,6,36.5,,
20NW,Plains,4,3,24,28,6,STCO,52,11,PSTE,8.5,40,,
20NW,Plains,4,4,3,38,8,VUOC,18,5,SPCR,6.5,28,,
20NW,Plains,4,4,6,22,7,PASM,14,3,ARLO,5,18,,
20NW,Plains,4,4,9,24,5,VUOC,18,9,VUOC,7,21,,
20NW,Plains,4,4,12,16,5,VUOC,16,2,VUOC,3.5,16,,
20NW,Plains,4,4,15,22,4,VUOC,26,7,VUOC,5.5,24,,
20NW,Plains,4,4,18,13,3,CRMI,30,4,VUOC,3.5,21.5,,
20NW,Plains,4,4,21,18,4,VUOC,12,3,VUOC,3.5,15,,
20NW,Plains,4,4,24,24,8,VUOC,32,5,VUOC,6.5,28,,
20NW,Salt Flats,5,1,3,16,3,SPCR,21,3,PASM,3,18.5,,
20NW,Salt Flats,5,1,6,18,4,BOGR,14,2,DISP,3,16,,
20NW,Salt Flats,5,1,9,32,8,PASM,32,11,PASM,9.5,32,,
20NW,Salt Flats,5,1,12,44,11,PASM,28,14,STCO,12.5,36,,
20NW,Salt Flats,5,1,15,32,9,SPAI,16,7,PASM,8,24,,
20NW,Salt Flats,5,1,18,24,7,SPAI,20,5,DISP,6,22,,
20NW,Salt Flats,5,1,21,34,10,SPAI,16,3,PASM,6.5,25,,
20NW,Salt Flats,5,1,24,22,8,PASM,24,6,PASM,7,23,,
20NW,Salt Flats,5,2,3,32,11,STCO,27,10,PASM,10.5,29.5,,
20NW,Salt Flats,5,2,6,21,7,VUOC,36,11,SPAI,9,28.5,,
20NW,Salt Flats,5,2,9,38,10,VUOC,41,10,STCO,10,39.5,,
20NW,Salt Flats,5,2,12,20,8,SPAI,38,11,STCO,9.5,29,,
20NW,Salt Flats,5,2,15,24,9,VUOC,29,9,VUOC,9,26.5,,
20NW,Salt Flats,5,2,18,18,4,PASM,23,3,STCO,3.5,20.5,,
20NW,Salt Flats,5,2,21,31,11,STCO,28,12,STCO,11.5,29.5,,
20NW,Salt Flats,5,2,24,10,8,VUOC,36,8,VUOC,8,23,,
20NW,Salt Flats,5,3,3,41,10,PASM,36,11,PASM,10.5,38.5,,
20NW,Salt Flats,5,3,6,33,6,PASM,42,10,PASM,8,37.5,,
20NW,Salt Flats,5,3,9,31,12,PASM,41,10,STCO,11,36,,
20NW,Salt Flats,5,3,12,36,11,PASM,33,10,STCO,10.5,34.5,,
20NW,Salt Flats,5,3,15,33,10,PASM,40,9,PASM,9.5,36.5,,
20NW,Salt Flats,5,3,18,29,8,PASM,44,16,PASM,12,36.5,,
20NW,Salt Flats,5,3,21,47,16,PASM,43,17,SPAI,16.5,45,,
20NW,Salt Flats,5,3,24,19,6,SPAI,21,7,SPAI,6.5,20,,
20NW,Salt Flats,5,4,3,29,2,PASM,18,4,SPAI,3,23.5,,
20NW,Salt Flats,5,4,6,32,10,PASM,22,2,BOGR,6,27,,
20NW,Salt Flats,5,4,9,30,11,PASM,24,6,PASM,8.5,27,,
20NW,Salt Flats,5,4,12,34,9,PASM,25,14,PASM,11.5,29.5,,
20NW,Salt Flats,5,4,15,33,9,PASM,27,10,PASM,9.5,30,,
20NW,Salt Flats,5,4,18,19,5,SPAI,19,7,DISP,6,19,,
20NW,Salt Flats,5,4,21,21,9,SPAI,11,4,BOGR,6.5,16,,
20NW,Salt Flats,5,4,24,31,10,PASM,37,5,VUOC,7.5,34,,
20NW,Salt Flats,6,1,3,26,11,SPAI,41,15,SPAI,13,33.5,,
20NW,Salt Flats,6,1,6,29,7,SPAI,28,9,PASM,8,28.5,,
20NW,Salt Flats,6,1,9,26,13,PASM,22,9,PASM,11,24,,
20NW,Salt Flats,6,1,12,38,7,PASM,34,11,PASM,9,36,,
20NW,Salt Flats,6,1,15,14,7,VUOC,22,7,PASM,7,18,,
20NW,Salt Flats,6,1,18,22,8,PASM,20,9,SPCR,8.5,21,,
20NW,Salt Flats,6,1,21,24,7,PASM,22,8,PASM,7.5,23,,
20NW,Salt Flats,6,1,24,22,9,PASM,42,11,PASM,10,32,,
20NW,Salt Flats,6,2,3,18,8,PASM,19,5,PASM,6.5,18.5,,
20NW,Salt Flats,6,2,6,20,3,PASM,17,5,PASM,4,18.5,,
20NW,Salt Flats,6,2,9,10,2,BOGR,13,3,BOGR,2.5,11.5,,
20NW,Salt Flats,6,2,12,14,2,DISP,9,4,BOGR,3,11.5,,
20NW,Salt Flats,6,2,15,21,5,PASM,13,4,BOGR,4.5,17,,
20NW,Salt Flats,6,2,18,12,2,BOGR,18,3,BOGR,2.5,15,,
20NW,Salt Flats,6,2,21,12,3,BOGR,14,3,SPCR,3,13,,
20NW,Salt Flats,6,2,24,10,3,BOGR,12,4,BOGR,3.5,11,,
20NW,Salt Flats,6,3,3,16,1,LICH,32,2,PASM,1.5,24,,
20NW,Salt Flats,6,3,6,28,1,SPAI,13,1,DISP,1,20.5,,
20NW,Salt Flats,6,3,9,19,2,PASM,12,3,PASM,2.5,15.5,,
20NW,Salt Flats,6,3,12,11,1,PASM,28,4,PASM,2.5,19.5,,
20NW,Salt Flats,6,3,15,33,9,PASM,34,9,PASM,9,33.5,,
20NW,Salt Flats,6,3,18,22,6,SPCR,21,9,VUOC,7.5,21.5,,
20NW,Salt Flats,6,3,21,26,6,PASM,33,8,SPAI,7,29.5,,
20NW,Salt Flats,6,3,24,24,10,PASM,26,5,PASM,7.5,25,,
20NW,Salt Flats,6,4,3,27,12,SPAI,22,2,VUOC,7,24.5,,
20NW,Salt Flats,6,4,6,13,2,DISP,32,3,VUOC,2.5,22.5,,
20NW,Salt Flats,6,4,9,15,4,VUOC,19,4,SPAI,4,17,,
20NW,Salt Flats,6,4,12,12,4,DISP,29,3,PASM,3.5,20.5,,
20NW,Salt Flats,6,4,15,19,9,PASM,25,10,SPAI,9.5,22,,
20NW,Salt Flats,6,4,18,18,5,BOGR,21,7,SPAI,6,19.5,,
20NW,Salt Flats,6,4,21,19,8,VUOC,29,4,BOGR,6,24,,
20NW,Salt Flats,6,4,24,26,11,SPAI,28,12,SPAI,11.5,27,,
25SE,Plains,1,1,3,10,3,VUOC,7,3,VUOC,3,8.5,,
25SE,Plains,1,1,6,7,1,VUOC,7,2,VUOC,1.5,7,,
25SE,Plains,1,1,9,8,1,VUOC,9,2,VUOC,1.5,8.5,,
25SE,Plains,1,1,12,12,3,VUOC,4,2,VUOC,2.5,8,,
25SE,Plains,1,1,15,7,1,CAEL,2,1,BOGR,1,4.5,,
25SE,Plains,1,1,18,11,1,VUOC,3,2,BOGR,1.5,7,,
25SE,Plains,1,1,21,7,2,BOGR,10,2,VUOC,2,8.5,,
25SE,Plains,1,1,24,2,1,BOGR,3,1,BOGR,1,2.5,,
25SE,Plains,1,2,3,13,2,VUOC,13,8,VUOC,5,13,,
25SE,Plains,1,2,6,10,4,VUOC,14,6,VUOC,5,12,,
25SE,Plains,1,2,9,12,6,VUOC,6,0,VUOC,3,9,,
25SE,Plains,1,2,12,12,4,VUOC,12,8,VUOC,6,12,,
25SE,Plains,1,2,15,24,2,BOGR,12,3,VUOC,2.5,18,,
25SE,Plains,1,2,18,8,2,BOGR,6,2,BOGR,2,7,,
25SE,Plains,1,2,21,5,3,BOGR,10,5,VUOC,4,7.5,,
25SE,Plains,1,2,24,6,2,VUOC,6,2,BOGR,2,6,,
25SE,Plains,1,3,3,9,5,BOGR,8,7,VUOC,6,8.5,,
25SE,Plains,1,3,6,10,9,VUOC,8,7,VUOC,8,9,,
25SE,Plains,1,3,9,9,6,VUOC,8,7,VUOC,6.5,8.5,,
25SE,Plains,1,3,12,10,5,VUOC,5,3,PLPA,4,7.5,,
25SE,Plains,1,3,15,7,5,VUOC,9,7,VUOC,6,8,,
25SE,Plains,1,3,18,5,2,VUOC,8,7,VUOC,4.5,6.5,,
25SE,Plains,1,3,21,10,6,BOGR,8,7,VUOC,6.5,9,,
25SE,Plains,1,3,24,9,7,VUOC,11,7,CAEL,7,10,,
25SE,Plains,1,4,3,10,4,VUOC,8,7,VUOC,5.5,9,,
25SE,Plains,1,4,6,6,4,OEAL,8,5,VUOC,4.5,7,,
25SE,Plains,1,4,9,8,5,PLPA,4,3,PLPA,4,6,,
25SE,Plains,1,4,12,7,4,VUOC,9,5,VUOC,4.5,8,,
25SE,Plains,1,4,15,10,5,VUOC,6,5,VUOC,5,8,,
25SE,Plains,1,4,18,12,5,PASM,13,9,VUOC,7,12.5,,
25SE,Plains,1,4,21,5,4,VUOC,14,6,VUOC,5,9.5,,
25SE,Plains,1,4,24,9,7,VUOC,10,6,VUOC,6.5,9.5,,
25SE,Plains,2,1,3,10,7,VUOC,6,5,VUOC,6,8,,
25SE,Plains,2,1,6,12,4,VUOC,7,6,VUOC,5,9.5,,
25SE,Plains,2,1,9,9,4,VUOC,8,2,VUOC,3,8.5,,
25SE,Plains,2,1,12,8,2,VUOC,10,7,VUOC,4.5,9,,
25SE,Plains,2,1,15,12,9,VUOC,12,9,VUOC,9,12,,
25SE,Plains,2,1,18,9,7,VUOC,10,3,VUOC,5,9.5,,
25SE,Plains,2,1,21,10,5,VUOC,10,6,VUOC,5.5,10,,
25SE,Plains,2,1,24,7,4,VUOC,8,7,VUOC,5.5,7.5,,
25SE,Plains,2,2,3,16,10,VUOC,11,8,VUOC,9,13.5,,
25SE,Plains,2,2,6,12,2,CAEL,10,3,BOGR,2.5,11,,
25SE,Plains,2,2,9,12,4,CRMI,12,4,CAEL,4,12,,
25SE,Plains,2,2,12,4,2,BOGR,8,4,CRMI,3,6,,
25SE,Plains,2,2,15,6,2,BOGR,6,2,BOGR,2,6,,
25SE,Plains,2,2,18,10,2,BOGR,12,4,VUOC,3,11,,
25SE,Plains,2,2,21,18,7,VUOC,14,7,VUOC,7,16,,
25SE,Plains,2,2,24,18,6,CAEL,14,9,VUOC,7.5,16,,
25SE,Plains,2,3,3,16,4,VUOC,9,5,VUOC,4.5,12.5,,
25SE,Plains,2,3,6,11,6,PASM,8,7,CRMI,6.5,9.5,,
25SE,Plains,2,3,9,14,7,VUOC,12,3,PASM,5,13,,
25SE,Plains,2,3,12,9,7,VUOC,8,6,VUOC,6.5,8.5,,
25SE,Plains,2,3,15,8,7,VUOC,8,5,VUOC,6,8,,
25SE,Plains,2,3,18,9,8,VUOC,9,7,VUOC,7.5,9,,
25SE,Plains,2,3,21,9,8,VUOC,14,10,VUOC,9,11.5,,
25SE,Plains,2,3,24,12,9,VUOC,8,7,VUOC,8,10,,
25SE,Plains,2,4,3,11,9,VUOC,7,5,VUOC,7,9,,
25SE,Plains,2,4,6,10,8,VUOC,9,8,VUOC,8,9.5,,
25SE,Plains,2,4,9,10,8,VUOC,6,5,VUOC,6.5,8,,
25SE,Plains,2,4,12,0,0,BARE,0,0,BARE,0,0,,
25SE,Plains,2,4,15,12,10,VUOC,12,9,VUOC,9.5,12,,
25SE,Plains,2,4,18,11,7,VUOC,9,5,VUOC,6,10,,
25SE,Plains,2,4,21,9,7,VUOC,10,7,VUOC,7,9.5,,
25SE,Plains,2,4,24,8,7,VUOC,10,9,VUOC,8,9,,
25SE,Plains,3,1,3,12,9,VUOC,15,4,VUOC,6.5,13.5,,
25SE,Plains,3,1,6,10,5,VUOC,22,6,VUOC,5.5,16,,
25SE,Plains,3,1,9,20,7,VUOC,9,3,VUOC,5,14.5,,
25SE,Plains,3,1,12,7,5,VUOC,10,2,PLPA,3.5,8.5,,
25SE,Plains,3,1,15,12,6,VUOC,16,12,VUOC,9,14,,
25SE,Plains,3,1,18,13,7,VUOC,11,8,VUOC,7.5,12,,
25SE,Plains,3,1,21,16,6,VUOC,11,6,VUOC,6,13.5,,
25SE,Plains,3,1,24,14,7,VUOC,17,4,VUOC,5.5,15.5,,
25SE,Plains,3,2,3,4,1,BUDA,5,1,BOGR,1,4.5,,
25SE,Plains,3,2,6,6,2,GUSA,21,3,BOGR,2.5,13.5,,
25SE,Plains,3,2,9,14,3,BUDA,7,1,SIHY,2,10.5,,
25SE,Plains,3,2,12,11,1,VUOC,21,3,VUOC,2,16,,
25SE,Plains,3,2,15,16,3,VUOC,11,3,VUOC,3,13.5,,
25SE,Plains,3,2,18,9,1,VUOC,13,2,VUOC,1.5,11,,
25SE,Plains,3,2,21,13,2,VUOC,21,2,VUOC,2,17,,
25SE,Plains,3,2,24,5,0,VUOC,1,0,BARE,0,3,,
25SE,Plains,3,3,3,22,8,VUOC,10,4,ARLO,6,16,,
25SE,Plains,3,3,6,10,5,VUOC,15,2,PASM,3.5,12.5,,
25SE,Plains,3,3,9,11,5,BOGR,10,5,OPPO,5,10.5,,
25SE,Plains,3,3,12,7,5,OPPO,4,1,OPPO,3,5.5,,
25SE,Plains,3,3,15,23,4,PASM,6,2,BOGR,3,14.5,,
25SE,Plains,3,3,18,15,5,PASM,7,3,BOGR,4,11,,
25SE,Plains,3,3,21,19,5,PASM,26,7,VUOC,6,22.5,,
25SE,Plains,3,3,24,23,8,PASM,22,7,PASM,7.5,22.5,,
25SE,Plains,3,4,3,16,9,VUOC,20,9,VUOC,9,18,,
