Year,Id,SOS_doy,SOS_date,NDVI_smooth2
2014,7NW_P6,86,2014-03-28,0.15752832643058082
2014,7SE_P1,60,2014-03-02,0.20004286228749804
2014,7SE_P2,61,2014-03-03,0.19294011332528424
2014,7SE_P3,61,2014-03-03,0.1948479877558603
2014,7SE_P4,68,2014-03-10,0.19217686030740183
2014,7SE_P5,90,2014-04-01,0.1621706794924726
2014,7SE_P6,88,2014-03-30,0.15400174738582453
2014,8E_P1,77,2014-03-19,0.17152482318576365
2014,8E_P2,78,2014-03-20,0.1590587993209275
2014,8E_P3,64,2014-03-06,0.18241571906732426
2014,8E_P4,80,2014-03-22,0.15178017614352315
2015,10S_P1,63,2015-03-05,0.20537155654140338
2015,10S_P2,63,2015-03-05,0.1860466551696149
2015,10S_P3,63,2015-03-05,0.18881002375485384
2015,10S_P4,63,2015-03-05,0.20571804881961345
2015,15E_P1,63,2015-03-05,0.18969103592251318
2015,15E_P2,89,2015-03-31,0.1929469549898245
2015,15E_P3,94,2015-04-05,0.19509961167160986
2015,15E_P4,100,2015-04-11,0.20259507526094003
2015,17N_P1,95,2015-04-06,0.19000170656566864
2015,17N_P2,94,2015-04-05,0.19946696120666604
2015,17N_P3,87,2015-03-29,0.1859438286891939
2015,17N_P4,88,2015-03-30,0.16513670192423943
2015,17N_P5,99,2015-04-10,0.19307939559483303
2015,17N_P6,63,2015-03-05,0.17857149216129023
2015,17S_P1,95,2015-04-06,0.20846519238040273
2015,17S_P2,92,2015-04-03,0.20367226073889214
2015,17S_P3,92,2015-04-03,0.17790297790143042
2015,17S_P4,91,2015-04-02,0.18566128488013336
2015,17S_P5,93,2015-04-04,0.1718593592914153
2015,17S_P6,93,2015-04-04,0.18204496084513366
2015,18S_P1,99,2015-04-10,0.2031028208112626
2015,18S_P2,94,2015-04-05,0.1957665885471203
2015,18S_P3,95,2015-04-06,0.19216491648714962
2015,18S_P4,96,2015-04-07,0.19736198986383058
2015,18S_P5,93,2015-04-04,0.19279459353655914
2015,18S_P6,97,2015-04-08,0.19805284311856558
2015,19N_P1,99,2015-04-10,0.20106018139039383
2015,19N_P2,96,2015-04-07,0.20122489321443823
2015,19N_P3,96,2015-04-07,0.18954132225464604
2015,19N_P4,92,2015-04-03,0.18061447000273004
2015,19N_P5,95,2015-04-06,0.21196799208703282
2015,19N_P6,95,2015-04-06,0.2049469829744048
2015,1W_P1,95,2015-04-06,0.1716104149933695
2015,1W_P2,99,2015-04-10,0.16819156501793836
2015,1W_P3,99,2015-04-10,0.168229781676264
2015,1W_P4,102,2015-04-13,0.16085946004568283
2015,20NW_P1,90,2015-04-01,0.1926353783563703
2015,20NW_P2,90,2015-04-01,0.19333676908076647
2015,20NW_P3,97,2015-04-08,0.1874678115776506
2015,20NW_P4,94,2015-04-05,0.1920465613473016
2015,20NW_P5,94,2015-04-05,0.17684084961454077
2015,20NW_P6,97,2015-04-08,0.17390455131145718
