Year,Pasture,Plot,Id,Treatment,Block,Ecosite,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Total_Biomass,Date,iAPAR
2013,20SE,1,20SE_P1,TGM,10.0,Sandy,0.0,0.0,998.89,1.4366666666666665,571.5666666666666,181.19000000000003,0.0,0.0,0.0,1181.5166666666667,,
2013,20SE,2,20SE_P2,TGM,10.0,Sandy,0.0,0.0,1094.42,50.995,521.1075,325.20500000000004,0.0,0.0,0.0,1470.62,,
2013,20SE,3,20SE_P3,TGM,10.0,Sandy,0.0,287.26,452.08500000000004,38.885000000000005,277.305,12.3775,0.0,0.0,0.0,790.6075,,
2013,20SE,4,20SE_P4,TGM,10.0,Salt Flats,0.0,391.5375,290.89500000000004,6.055,598.3375,418.1775,0.0,0.0,0.0,1106.665,,
2013,20SE,5,20SE_P5,TGM,10.0,Salt Flats,29.0625,99.97,224.5625,23.007499999999997,390.32500000000005,709.075,0.0,0.0,0.0,1085.6775,,
2013,20SE,6,20SE_P6,TGM,10.0,Sandy,13.59,570.085,145.7175,57.0475,87.19,14.935,0.0,0.0,0.0,801.375,,
2013,21N,1,21N_P1,AGM,2.0,Loamy,0.0,306.2325,46.9575,25.8325,26.235,38.885,56.2425,0.0,0.0,417.9075,,
2013,21N,2,21N_P2,AGM,2.0,Loamy,16.863333333333333,683.5066666666667,35.343333333333334,13.276666666666666,41.080000000000005,0.0,0.0,0.0,0.0,748.9899999999999,,
2013,21N,3,21N_P3,AGM,2.0,Loamy,1.345,355.8825,69.5625,191.595,19.1075,10.629999999999999,417.9075,0.0,0.0,629.015,,
2013,21N,4,21N_P4,AGM,2.0,Loamy,0.4025,348.7525,194.0175,83.15,9.9575,62.7,18.165,0.0,0.0,689.0225,,
2013,24W,1,24W_P1,TGM,2.0,Loamy,58.662499999999994,339.2,13.5875,48.44,57.8575,12.9175,0.0,0.0,0.0,472.8075,,
2013,24W,2,24W_P2,TGM,2.0,Loamy,50.589999999999996,291.7,55.435,8.879999999999999,199.535,14.2625,16.0125,0.0,0.0,420.86749999999995,,
2013,24W,3,24W_P3,TGM,2.0,Loamy,44.669999999999995,489.22,19.37666666666667,92.57,94.18666666666667,4.126666666666667,0.0,0.0,0.0,649.9633333333333,,
2013,24W,4,24W_P4,TGM,2.0,Loamy,18.2975,436.88,22.2,65.795,52.475,4.305,0.0,0.0,0.0,547.4775,,
2013,25NW,1,25NW_P1,AGM,4.0,Loamy,17.895,322.7825,115.4425,17.4925,37.8075,11.3025,0.0,0.0,0.0,484.91499999999996,,
2013,25NW,2,25NW_P2,AGM,4.0,Loamy,84.4975,327.4925,118.805,490.835,12.6475,28.12,0.0,0.0,0.0,1049.75,,
2013,25NW,3,25NW_P3,AGM,4.0,Loamy,12.647499999999999,243.13,149.4825,18.9725,61.22,122.7075,0.0,0.0,0.0,546.94,,
2013,25NW,4,25NW_P4,AGM,4.0,Loamy,73.59750000000001,226.98499999999999,74.53999999999999,43.192499999999995,34.980000000000004,4.7075,0.0,0.0,0.0,423.0225,,
2013,25SE,1,25SE_P1,TGM,4.0,Loamy,71.1775,309.46500000000003,56.91499999999999,26.505,73.87,0.0,0.0,0.0,0.0,464.0625,,
2013,25SE,2,25SE_P2,TGM,4.0,Loamy,26.013333333333332,371.17666666666673,12.556666666666667,7.0,49.693333333333335,7.176666666666667,0.0,0.0,0.0,423.92333333333335,,
2013,25SE,3,25SE_P3,TGM,4.0,Loamy,1.615,262.64,108.0425,196.845,235.7275,33.0975,0.0,0.0,0.0,602.24,,
2013,25SE,4,25SE_P4,TGM,4.0,Loamy,1.615,366.375,12.3775,161.8625,43.325,0.0,0.0,0.0,0.0,542.23,,
2013,26E,1,26E_P1,TGM,3.0,Loamy,47.36,410.105,42.519999999999996,15.07,13.5875,0.0,0.0,0.0,0.0,515.055,,
2013,26E,2,26E_P2,TGM,3.0,Loamy,8.79,336.55333333333334,33.906666666666666,11.299999999999999,27.80333333333333,0.0,151.77,0.0,0.0,390.54999999999995,,
2013,26E,3,26E_P3,TGM,3.0,Loamy,77.9025,291.8375,63.1025,74.67500000000001,103.065,49.9175,0.0,0.0,0.0,557.435,,
2013,26E,4,26E_P4,TGM,3.0,Loamy,73.19500000000001,207.07,46.825,6.055,69.5625,18.0275,0.0,0.0,0.0,351.1725,,
2013,26W,1,26W_P1,AGM,3.0,Loamy,127.8225,267.35,155.135,131.99,9.1475,8.4775,0.0,0.0,0.0,690.7750000000001,,
2013,26W,2,26W_P2,AGM,3.0,Loamy,70.5025,327.625,27.985,21.259999999999998,15.342500000000001,0.0,0.0,0.0,0.0,447.3725,,
2013,26W,3,26W_P3,AGM,3.0,Loamy,274.7475,246.09,164.8225,255.50750000000002,18.165,4.574999999999999,0.0,0.0,0.0,945.7425000000001,,
2013,26W,4,26W_P4,AGM,3.0,Loamy,131.8575,176.5275,60.145,37.0,10.225,8.88,0.0,0.0,0.0,414.40999999999997,,
2013,31E,1,31E_P1,TGM,5.0,Loamy,0.0,441.185,34.9825,19.645,149.62,0.0,0.0,0.0,0.0,495.8125,,
2013,31E,2,31E_P2,TGM,5.0,Loamy,0.0,285.51250000000005,17.357499999999998,110.195,76.1575,1.0775,0.0,0.0,0.0,414.1425,,
2013,31E,3,31E_P3,TGM,5.0,Loamy,0.0,376.7366666666667,23.5,50.77,52.20333333333334,15.426666666666668,0.0,0.0,0.0,466.4333333333334,,
2013,31E,4,31E_P4,TGM,5.0,Sandy,0.0,217.0275,9.149999999999999,119.345,66.735,15.205,0.0,0.0,0.0,360.72749999999996,,
2013,31W,1,31W_P1,AGM,5.0,Loamy,0.0,355.3425,261.2975,116.655,143.9675,0.0,0.0,0.0,0.0,733.295,,
