Id,Year,iAPAR_at_Sampling,Total_Biomass,Treatment,SamplingDate
15E_P1,2014,106.25481166188479,2327.6968349999997,TGM,2014-08-04
15E_P1,2015,119.58652856352722,2102.1927948000002,TGM,2015-08-04
15E_P1,2016,78.68746222346141,1945.0396212,TGM,2016-08-08
15E_P1,2017,77.6776486468171,984.898314,TGM,2017-08-08
15E_P1,2018,81.32238129841826,1224.6645429,TGM,2018-08-10
15E_P1,2019,77.97858168493764,2875.09578319,TGM,2019-08-06
15E_P1,2020,44.95422415327886,744.13642291,TGM,2020-08-06
15E_P1,2022,32.57789896369135,241.64991423,TGM,2022-08-05
15E_P2,2014,108.23183473896249,2373.1743803,TGM,2014-08-04
15E_P2,2015,127.89134685640677,1878.0342441000003,TGM,2015-08-04
15E_P2,2016,80.71009777598141,1589.0230995,TGM,2016-08-08
15E_P2,2017,79.4242021299099,1568.840757,TGM,2017-08-09
15E_P2,2018,78.47299530896952,1450.1685831,TGM,2018-08-10
15E_P2,2019,84.3773600450292,3080.60584947,TGM,2019-08-07
15E_P2,2020,45.832683273117,695.42970298,TGM,2020-08-07
15E_P2,2021,70.37843703036789,2697.67953762,TGM,2021-08-05
15E_P2,2022,31.929874440744708,329.59110792,TGM,2022-08-05
15E_P3,2014,108.71534563773308,1531.7052468000002,TGM,2014-08-04
15E_P3,2015,113.34052504581673,1752.0964268999999,TGM,2015-08-04
15E_P3,2016,79.88357096507275,1685.0910498,TGM,2016-08-08
15E_P3,2017,77.38692181923206,939.4207689,TGM,2017-08-09
15E_P3,2018,79.76236430266081,988.6656846000001,TGM,2018-08-13
15E_P3,2019,92.38954856235627,2589.90582882,TGM,2019-08-07
15E_P3,2020,48.065467870895475,654.1769949,TGM,2020-08-07
15E_P3,2021,77.62695169610443,1678.87488836,TGM,2021-08-05
15E_P3,2022,35.377372102448845,255.18553857,TGM,2022-08-08
15E_P4,2014,113.54381818887711,1829.5966220999999,TGM,2014-08-04
15E_P4,2015,113.60448487352795,1980.2914461,TGM,2015-08-04
15E_P4,2016,81.6092994758311,1899.2929782,TGM,2016-08-08
15E_P4,2017,78.30098932974386,1174.6123335,TGM,2017-08-09
15E_P4,2019,84.7581318307775,2698.67519995,TGM,2019-08-07
15E_P4,2020,49.885846140419716,736.14421526,TGM,2020-08-07
15E_P4,2021,74.92091359769762,2129.23713369,TGM,2021-08-05
15E_P4,2022,35.5184499096195,280.26546285,TGM,2022-08-08
17N_P1,2014,86.76671810281832,2146.3248504000003,TGM,2014-08-04
17N_P1,2015,122.12051396770887,2232.9743742,TGM,2015-08-03
17N_P1,2017,75.47081720806364,2156.38911186,TGM,2017-08-03
17N_P1,2018,72.84241666033864,2190.7260041,TGM,2018-08-07
17N_P1,2020,46.17328360215549,743.4367683300001,TGM,2020-08-03
17N_P1,2021,63.842988668769394,2910.85889413,TGM,2021-08-03
17N_P1,2022,34.36756600347613,478.18696834,TGM,2022-08-02
17N_P2,2014,85.60386868412738,2163.5471159999997,TGM,2014-08-04
17N_P2,2015,123.46180755044415,1807.5305942999998,TGM,2015-08-03
17N_P2,2017,79.55125709846534,2013.6595858,TGM,2017-08-03
17N_P2,2018,74.53138304604312,1656.8357703000001,TGM,2018-08-07
17N_P2,2020,46.86552812356058,371.43583136999996,TGM,2020-08-03
17N_P2,2021,69.37594055652951,3174.1442795599996,TGM,2021-08-03
17N_P2,2022,36.9796373263009,514.56900433,TGM,2022-08-03
17N_P3,2014,158.52719156283104,4719.169872,TGM,2014-08-04
17N_P3,2015,193.99546698055042,6700.5377097,TGM,2015-08-03
17N_P3,2017,126.15881442222005,5741.4727948,TGM,2017-08-04
17N_P3,2018,116.87372060173749,4381.9902039,TGM,2018-08-07
17N_P3,2020,87.63168876499783,3176.29706239,TGM,2020-08-04
17N_P3,2022,64.29242147006212,1948.67244283,TGM,2022-08-03
17N_P4,2014,125.50003516536843,5148.1119249,TGM,2014-08-04
17N_P4,2015,150.92940037933315,5756.5422764,TGM,2015-08-03
17N_P4,2017,98.03052726534136,3508.7675187,TGM,2017-08-08
17N_P4,2018,86.8954419595154,4777.564116699999,TGM,2018-08-07
17N_P4,2020,70.53579041492394,2343.1968741700002,TGM,2020-08-04
17N_P4,2021,94.14487369819943,4219.132154389999,TGM,2021-08-04
17N_P4,2022,44.757397633805915,1396.6988304400002,TGM,2022-08-03
17N_P5,2014,112.672373144757,2387.1674708,TGM,2014-08-04
17N_P5,2017,78.45611273167872,2134.4845428,TGM,2017-08-07
17N_P5,2018,69.39399376368573,1550.0039040000001,TGM,2018-08-07
17N_P5,2019,77.14131671260456,1744.7231443800001,TGM,2019-08-06
17N_P5,2020,54.101182538653724,470.6253173,TGM,2020-08-03
17N_P5,2021,79.9903489545464,3100.8420113800003,TGM,2021-08-04
17N_P5,2022,37.13598114039015,459.02719786,TGM,2022-08-03
17N_P6,2014,120.50738099267286,3787.5529426000003,TGM,2014-08-04
17N_P6,2017,86.30989599029989,2784.0868736,TGM,2017-08-07
17N_P6,2018,72.69410881023519,2083.8941376000002,TGM,2018-08-07
17N_P6,2019,84.85270345952361,4180.24750813,TGM,2019-08-06
17N_P6,2020,59.13739367402611,1854.03071148,TGM,2020-08-03
17N_P6,2022,44.02924361565196,980.96948469,TGM,2022-08-03
17S_P1,2014,127.33977011734065,2123.9897246,AGM,2014-08-04
